kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad
10586208,K01308.01,CONFIRMED,CANDIDATE,1.0,23.58444746,5.343974239694171,428.07226628005515,3.3333678123905957,1.4771309
10713616,K01311.01,CANDIDATE,CANDIDATE,0.945,83.5781976,7.012295636660142,629.3455931288827,2.886927119206754,1.0550803
10928043,K01315.01,CANDIDATE,CANDIDATE,1.0,6.84639884,3.296157997751992,149.3845275777339,1.5132724549553624,1.135164
4282872,K01325.01,CONFIRMED,CANDIDATE,1.0,10.035381809,3.24771072207478,2837.520987133746,5.514137199171562,0.9490789
4072526,K01329.01,CONFIRMED,CANDIDATE,0.993,33.1996355,4.8654967984507635,1111.1918376538465,2.889436784421519,0.79471785
4274548,K01331.01,CANDIDATE,CANDIDATE,0.999,6.80082032,1.908275384826686,702.9076497190312,1.8369531546790185,0.6352479
4455231,K01332.01,CONFIRMED,CANDIDATE,1.0,19.30581662,4.1871450849444605,709.3639841126986,3.320338234591037,1.142989
4455231,K01332.02,CONFIRMED,CANDIDATE,0.998,6.09747233,3.4241024824552877,214.88092409327476,1.8274549962665538,1.142989
4455231,K01332.03,CONFIRMED,CANDIDATE,0.989,56.637918,6.068620834153485,583.7617832162856,3.0120736653793467,1.142989
4077526,K01336.01,CONFIRMED,CANDIDATE,1.0,10.21864532,3.710781857450695,444.7739337701817,2.485301725038517,1.0804477
4077526,K01336.02,CONFIRMED,CANDIDATE,1.0,15.573637,4.436526786776252,461.7752109271622,2.5323560368914793,1.0804477
4077526,K01336.03,CONFIRMED,CANDIDATE,1.0,40.1015561,4.776438197932036,546.8552209074718,2.7557869487608557,1.0804477
4077526,K01336.04,CANDIDATE,CANDIDATE,1.0,4.45814897,2.7907143402703163,185.4617056247232,1.6048578925428478,1.0804477
4466677,K01338.01,CONFIRMED,CANDIDATE,1.0,3.222975318,2.8813910433158787,232.81337969260906,1.8034325903087953,1.083653
4466677,K01338.02,CANDIDATE,CANDIDATE,0.999,42.0370662,6.126640358183742,263.0979798668998,1.9171438586179852,1.083653
4466677,K01338.03,CANDIDATE,CANDIDATE,0.75,21.0112068,4.35271005258439,158.4714398742415,1.487892134403038,1.083653
4650674,K01341.01,CONFIRMED,CANDIDATE,1.0,4.51436096,2.9432768642194906,231.34606620278663,1.876384661495154,1.1310586
4275721,K01342.01,CONFIRMED,CANDIDATE,0.809,3.77359871,2.699539355508594,176.01556281066078,1.498681651468232,1.0356861
4275721,K01342.02,CONFIRMED,CANDIDATE,0.999,8.18182189,2.3835149457462705,298.7531583523717,1.9524958008460658,1.0356861
4136466,K01344.01,CONFIRMED,CANDIDATE,0.999,4.48758768,2.8142940517674195,111.86093655990436,1.6274658836432485,1.4108049
7303287,K01353.02,CONFIRMED,CANDIDATE,1.0,34.5439452,3.2212945992170106,427.39924593038216,2.2353109307956434,0.9913234
6719086,K01357.01,CANDIDATE,CANDIDATE,1.0,3.014330766,2.402518623219466,979.5485872903242,2.4531069827753145,0.7186175
7376983,K01358.01,CANDIDATE,CANDIDATE,1.0,5.644914154,2.167431618523852,1404.4781947860629,2.740566575489687,0.6704666
7376983,K01358.02,CANDIDATE,CANDIDATE,0.999,8.74292005,2.549546406344154,781.7245904970794,2.0446065277974226,0.6704666
7376983,K01358.03,CANDIDATE,CANDIDATE,1.0,3.64830183,1.942409305666025,373.8890037584541,1.4140156054490467,0.6704666
6946199,K01359.01,CANDIDATE,CANDIDATE,1.0,37.1011418,5.333328017265259,1357.4237894905527,4.3633277228955905,1.0858114
6946199,K01359.02,CANDIDATE,CANDIDATE,1.0,104.8205868,3.234091621457415,3924.7323256387244,7.419337487486148,1.0858114
7102227,K01360.01,CONFIRMED,CANDIDATE,1.0,36.7704935,4.212400208495971,1345.6468786701148,2.5760231217319474,0.6438408
7102227,K01360.02,CONFIRMED,CANDIDATE,1.0,14.58932429,2.310154524986929,827.5079158112097,2.0200879641007337,0.6438408
6837146,K01362.01,CANDIDATE,CANDIDATE,1.0,20.51360192,3.26913186483302,1167.5129472432654,3.433935780240734,0.9214157
6936909,K01363.01,CONFIRMED,CANDIDATE,1.0,3.546531809,2.195142129353466,441.03276061002725,2.8878742242180357,1.2607737
6936909,K01363.02,CONFIRMED,CANDIDATE,0.983,5.70070626,1.545049736175423,381.22968215525964,2.6849500002739175,1.2607737
6962977,K01364.01,CONFIRMED,CANDIDATE,1.0,20.8341497,4.3369944899826836,806.1423634303511,2.5303465407003403,0.81708723
6962977,K01364.02,CONFIRMED,CANDIDATE,1.0,7.0556584,2.963101487974569,705.1240188007401,2.366502053255149,0.81708723
6962977,K01364.03,CONFIRMED,CANDIDATE,1.0,11.97884409,3.653832900522325,705.8235010923842,2.3676755460863896,0.81708723
6962977,K01364.04,CONFIRMED,CANDIDATE,0.854,3.71545593,2.4623566203129155,333.0157472312134,1.6263219238114262,0.81708723
6932987,K01366.01,CONFIRMED,CANDIDATE,1.0,19.25404023,4.466186887658325,984.876676415447,3.0317924023481337,0.885733
6932987,K01366.02,CONFIRMED,CANDIDATE,1.0,54.1558384,3.60696090628148,1091.5684118479874,3.191787823868911,0.885733
7287415,K01369.01,CANDIDATE,CANDIDATE,1.0,3.016182013,2.75640279619477,221.43909421667996,1.7540114416344446,1.0806861
6924203,K01370.01,CONFIRMED,CANDIDATE,0.995,6.8833761,2.2437372982111023,455.1009519938587,2.7122625965863847,1.1656607
7211221,K01379.01,CONFIRMED,CANDIDATE,1.0,5.62154315,2.3618565186630045,171.4984700466049,1.4651201861972496,1.0257403
8935810,K01395.01,CANDIDATE,CANDIDATE,1.0,6.230335,1.4923749474039196,1448.7833629380775,4.361446686211345,1.0505655
9455556,K01396.01,CONFIRMED,CANDIDATE,1.0,6.62643441,3.099342600210723,813.6025147967852,2.9713092075004184,0.95507175
9455556,K01396.02,CONFIRMED,CANDIDATE,0.994,3.70122061,2.458905486095552,327.3467962848775,1.8847152951987183,0.95507175
9269281,K01398.01,CANDIDATE,CANDIDATE,1.0,5.82348911,1.9853157202019767,885.6658432996322,2.4755596232558337,0.7626631
9100484,K01399.01,CANDIDATE,CANDIDATE,1.0,8.75059775,2.732603343851756,881.7889962334235,2.1334592215449923,0.6587131
9034103,K01402.01,CONFIRMED,CANDIDATE,1.0,7.13969705,3.8784947873412614,513.5440010987091,2.9847984983383773,1.2075927
9214942,K01403.01,CONFIRMED,CANDIDATE,1.0,18.75470238,2.9487431571745484,997.2227229347874,2.530526922394243,0.73469853
8874090,K01404.01,CONFIRMED,CANDIDATE,0.999,13.32389352,3.1325006684129724,783.1185896122195,2.044935870058882,0.6699775
8874090,K01404.02,CANDIDATE,CANDIDATE,0.953,18.9060921,3.79933720074295,382.8405269745705,1.4297986376761471,0.6699775
9271752,K01406.01,CONFIRMED,CANDIDATE,1.0,11.36113254,3.9926860299218183,567.0320944310414,2.6980302899992106,1.0388128
9391208,K01409.01,CONFIRMED,CANDIDATE,1.0,16.56062577,2.011560789165183,675.0145860486833,2.3626952197604663,0.83376837
9391506,K01410.01,CONFIRMED,CANDIDATE,1.0,15.74958583,4.485766903892454,656.8290010046107,2.4893756920785255,0.89055055
8950853,K01412.01,CONFIRMED,CANDIDATE,0.999,37.8145252,8.537463079346011,410.61385308460706,3.4830006865498735,1.5759087
11026304,K01420.01,CANDIDATE,CANDIDATE,1.0,13.35151248,3.3473256211437117,3315.611999009982,4.488073818455839,0.7146155
11177707,K01423.01,CONFIRMED,CANDIDATE,1.0,124.4197175,3.5177090407299922,4108.947153193265,5.855512436107986,0.83751756
11122894,K01426.01,CONFIRMED,CANDIDATE,1.0,38.86848956,5.880425727867982,1007.2572792758639,3.0761637248664213,0.8886557
11122894,K01426.02,CONFIRMED,CANDIDATE,0.912,74.92768653,4.055846677002142,4119.91737879458,6.221333641216035,0.8886557
11122894,K01426.03,CANDIDATE,CANDIDATE,1.0,150.0189511,4.3823,4319.7,6.370390167571512,0.8886557
11030711,K01429.01,CANDIDATE,CANDIDATE,0.997,205.912735,9.556633421038832,2379.643102844775,6.195040142123006,1.1643472
11176127,K01430.01,CONFIRMED,CANDIDATE,1.0,10.47548084,2.1857968647613353,1077.1020575358614,1.9403814098076775,0.542067
11176127,K01430.02,CONFIRMED,CANDIDATE,1.0,22.92886314,1.9322401975805559,914.3998465382941,1.787832178177369,0.542067
11176127,K01430.03,CONFIRMED,CANDIDATE,0.994,77.4740991,3.8489303130963277,1544.4289757348683,2.323499845272784,0.542067
