kepid,mass,radius,teff,bp_rp,rrmscdpp04p5
10122255,0.939,1.1646575,5744.6665,0.8708849,107.792
10122336,1.016,1.4467933,5742,0.8510523,103.802
10129857,0.974,1.399445,5442,0.9212742,75.417
10130039,0.957,1.0425382,5816.5,0.79778194,49.884
10130057,0.903,0.7351302,5239.44,1.0446205,178.97
10130235,1.446,1.3367388,6870.5,0.6193981,79.396
10130243,0.553,0.8624412,4204,1.629283,140.175
10005020,1.097,1.3547692,5376,0.96710205,123.885
10005048,0.732,0.6496927,4862.263,1.2996473,195.751
10005056,1.084,1.0083469,5752,0.8563061,139.313
10005119,1.092,1.2694087,5601.033,0.8934107,160.234
10005217,1.174,1.0129868,5781.3335,0.85787773,141.714
10011125,1.148,1.3710625,5768,0.8605852,202.609
10011138,0.643,0.64643604,4099.313,1.6964426,227.874
10011213,1.025,1.0114785,5676.8203,0.8630867,208.833
10011306,1.114,1.3015764,5461,0.90988255,215.872
10011398,1.169,1.0195934,6052.25,0.7483597,67.809
10011524,1.157,1.1907288,5771.6025,0.8406601,241.382
10014201,0.836,0.8158891,5007.25,1.0861912,272.895
10018805,0.952,1.1290039,5214.8364,1.0279188,191.71
10018820,0.948,0.79227453,5186.7266,1.0315275,460.637
10018842,0.918,0.8696486,5592,0.87617016,36.381
10024591,0.91,0.89329964,5306.3335,1.0133343,170.12
10024620,0.938,0.8806295,5345,0.99460125,110.947
10028414,1.125,1.1378359,5439.7803,0.9021034,205.31
10028433,1.642,1.7965561,6926,0.6092596,294.556
10028447,1.015,1.0960937,5633.5,0.86134434,137.429
10028450,1.154,1.1971629,5756,0.85246754,208.678
10028489,0.896,1.072517,5076.285,1.0637989,227.288
10028535,0.878,0.8921635,4916.5,1.1634979,176.499
10028569,1.074,1.2508713,5762,0.8542719,121.887
10034197,0.52,0.634161,4656.817,1.3994217,226.344
10034227,1.644,1.509694,6951,0.59981537,58.896
10057597,0.958,1.3591886,5806.3335,0.8820095,72.559
10057620,0.748,0.8932042,5625,0.86691284,31.561
10057622,1.125,1.232998,5505,0.89664745,212.358
10057634,1.081,1.26941,5702.75,0.8643179,79.81
10064860,0.796,0.76026267,4962.635,1.1931868,161.553
10064876,0.942,1.233947,5340.75,0.94445515,134.038
10064965,0.851,0.7298196,4956.0977,1.1425629,203.944
10065001,1.079,1.4266856,5408,0.9189367,177.018
10065053,1.047,0.98607147,6640.075,0.8488865,192.219
10068919,1.091,1.5826895,5876.6665,0.78797245,127.162
10068939,1.038,1.2808865,5998,0.7462425,138.144
10068996,0.858,0.7749423,5002,1.1204948,110.277
10075155,0.973,1.2681273,5381,0.9717846,219.634
10075157,1.072,1.4916772,5786.3335,0.84541416,126.408
10075215,1.117,1.0790555,5825.6665,0.797946,94.656
10075223,1.019,0.86820686,5396.3335,0.9718275,231.166
10075292,0.94,0.93792576,5393,0.9470558,165.675
10075388,0.907,0.8687196,5095.09,1.0475807,266.057
10075527,0.928,0.91993946,5111.28,1.062499,251.102
10082556,1.121,1.1258091,6255.895,0.74712753,117.522
10082567,0.92,0.95532715,5054,1.0759668,437.678
10082573,0.96,0.87016606,5074.25,1.0690222,240.028
10082591,1.313,1.278268,5853.75,0.8075552,118.296
