# num_targets_sim_pass_one: 8000
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.6418538861723947
# max_planets_in_clusters: 10
# power_law_P: -0.5
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.0
# power_law_r2: -4.0
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5
# sigma_incl: 8.0
# sigma_incl_near_mmr: 1.0
# sigma_hk: 0.01
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.25
# sigma_logperiod_per_pl_in_cluster: 0.15
#
target_id star_id star_mass star_radius num_planets
124.0 50151.0 0.977 0.8305082 0.0
125.0 54323.0 0.946 1.4289685 0.0
126.0 35780.0 1.26 1.6328472 1.0
127.0 49628.0 0.919 0.905768 0.0
128.0 64117.0 0.909 0.9269049 2.0
129.0 65118.0 0.802 0.72738224 0.0
130.0 21154.0 1.006 0.95897466 4.0
131.0 4248.0 0.992 1.0818838 4.0
132.0 22802.0 0.865 1.3689796 4.0
133.0 16850.0 0.815 0.8798721 0.0
134.0 62573.0 0.965 1.0329406 5.0
135.0 9488.0 1.052 0.9973567 3.0
136.0 72379.0 1.036 1.0881754 3.0
137.0 31673.0 0.939 0.89626175 2.0
138.0 52317.0 0.819 0.78217787 0.0
139.0 68364.0 1.227 0.94996995 4.0
140.0 28684.0 0.967 1.1022677 2.0
141.0 7828.0 0.904 1.0308424 2.0
142.0 24429.0 0.83 1.3692077 0.0
143.0 4353.0 1.105 1.353125 5.0
144.0 19764.0 0.879 0.7843898 0.0
145.0 40734.0 0.887 1.246184 3.0
146.0 4585.0 1.004 1.4675688 1.0
147.0 15173.0 1.07 1.200434 5.0
148.0 66981.0 1.104 1.2931615 0.0
149.0 53944.0 0.789 0.9502587 2.0
150.0 73869.0 0.96 0.87295634 3.0
151.0 77082.0 0.785 0.72568613 3.0
152.0 23476.0 0.974 1.307286 0.0
153.0 52261.0 1.01 1.2029464 7.0
154.0 27100.0 0.939 1.1423403 0.0
155.0 28491.0 0.984 0.97057563 4.0
156.0 51715.0 0.884 0.9200795 0.0
157.0 38498.0 0.782 0.8445952 4.0
158.0 15467.0 0.6 0.67171025 0.0
159.0 41419.0 0.594 0.9231316 1.0
160.0 1705.0 1.137 1.3203343 0.0
