# num_targets_sim_pass_one: 8000
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.6418538861723947
# max_planets_in_clusters: 10
# power_law_P: -0.5
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.0
# power_law_r2: -4.0
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5
# sigma_incl: 8.0
# sigma_incl_near_mmr: 1.0
# sigma_hk: 0.01
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.25
# sigma_logperiod_per_pl_in_cluster: 0.15
#
target_id star_id planet_mass planet_radius period ecc
2.0 62396.0 2.6203554323716885e-5 0.02470591227824105 46.340257851605806 0.003263219666300097
2.0 62396.0 1.682373985257169e-5 0.015802454398561292 77.60571090916848 0.02257232149543056
3.0 4590.0 1.5558924229589493e-5 0.016673208334233452 3.60156917452302 0.013109918504222171
3.0 4590.0 1.6118920707414908e-5 0.01618947029793234 10.571846880905694 0.00809918115033909
3.0 4590.0 3.511986595921982e-5 0.019304885919681394 17.13021438404691 0.004309507075591527
4.0 8859.0 3.4745467935160484e-7 0.005339573104173582 95.75156203830127 0.01979666134526524
4.0 8859.0 3.1230191844361316e-7 0.00488093185345261 122.18907269766538 0.008504821747055405
5.0 78301.0 3.445739014139242e-6 0.009025581713602324 258.3813884156984 0.01103568987800722
6.0 56585.0 3.5683112549285973e-7 0.0056610144476079375 59.47462915380085 0.015336406856599592
6.0 56585.0 3.160955161568131e-7 0.005224324348412272 232.32727937500812 0.01205744838656171
7.0 32350.0 1.1087528348854246e-5 0.012951413617051325 3.9054841365285236 0.01616678932931538
7.0 32350.0 2.39969129286617e-5 0.01988550835286345 5.343853171529533 0.0019175723411769899
7.0 32350.0 1.7970960091183529e-6 0.0075223857104079125 18.904945253047636 0.005312749406566477
7.0 32350.0 5.340489552731825e-6 0.008191196101093937 23.789541716645974 0.015416691911803367
7.0 32350.0 3.0399861874443797e-7 0.005424515075223326 33.964364757335595 0.012752926101357196
7.0 32350.0 8.52115187569971e-6 0.009107095777095224 78.47106373489724 0.024650015856782476
7.0 32350.0 3.36949889575431e-7 0.005882247952051449 159.01636795534603 0.005267092627901005
7.0 32350.0 3.337763862855277e-7 0.006345305655702165 206.93175691794477 0.006579969566414838
7.0 32350.0 2.122781453146238e-5 0.02849715980101254 277.3806329525439 0.011083882849822637
8.0 74791.0 7.454982041805867e-6 0.017238937079382465 3.2085183821487946 0.027976382804322027
8.0 74791.0 4.243401871178047e-5 0.011081039233275119 4.760477553328325 0.01714775058821677
8.0 74791.0 9.507740914052683e-6 0.01187093466539058 7.367342122306362 0.016460455815648128
8.0 74791.0 9.75710030907826e-6 0.015571454233707798 14.554921955868672 0.008240009797445576
8.0 74791.0 5.966291153708435e-6 0.006200822298201015 21.984300283322067 0.030529340685942066
8.0 74791.0 8.4774894316186e-6 0.007047554305116261 46.14586275602857 0.006375773332863368
8.0 74791.0 9.562859089272555e-6 0.007431878459466845 81.94183480936685 0.01806814437561107
8.0 74791.0 2.9691043720579475e-6 0.006259964502431287 121.32354488887876 0.015109468593126832
8.0 74791.0 3.3514421740653953e-6 0.0065415211187790055 211.33820044890348 0.010659702831244554
9.0 10381.0 3.029274059687065e-7 0.005298704822745428 59.888979670314164 0.020354793073160567
10.0 35405.0 2.874106664914743e-5 0.009478778690732007 3.0799230118632375 0.034729791765810904
10.0 35405.0 2.1905843950709505e-6 0.0061855617731989354 6.845884947751963 0.016054800342408037
10.0 35405.0 3.0770648599674226e-7 0.0053470580300346085 13.17850857197556 0.010964170537870183
10.0 35405.0 2.1100316613032235e-6 0.010754363570435634 17.99982289881832 0.020333285997577097
10.0 35405.0 1.9667558308098002e-5 0.020320078752878896 29.607405285525488 0.016672782069400018
10.0 35405.0 1.5937171901687258e-5 0.01401141679118205 42.53941708236722 0.011619682881236312
10.0 35405.0 8.727786437077888e-6 0.015216555278100943 70.16890376677833 0.004107932590351439
10.0 35405.0 7.390466558843684e-6 0.015594830998654318 256.3672370858082 0.020964069276872305
11.0 70144.0 6.403374804620315e-6 0.006982516084605537 10.933978041927036 0.014446204031646022
11.0 70144.0 1.904103863943668e-5 0.012120237691397164 26.57660017831754 0.009238233068202685
11.0 70144.0 3.171740334570033e-5 0.010129052446067696 75.34588118516368 0.005156537263646757
15.0 78920.0 2.398414136385853e-5 0.014243684013730105 32.504044562435574 0.006779679497852519
15.0 78920.0 3.6936289583575035e-7 0.005053448405563587 56.05876721392727 0.011236234792549057
15.0 78920.0 2.7861550378747783e-6 0.006339391412017801 76.08346099030574 0.0010425164408179879
16.0 50087.0 1.7707764789847786e-5 0.009744960920342452 4.93826068000704 0.009011786067401563
16.0 50087.0 1.4903377896569461e-5 0.010625603308496075 15.127196798098506 0.013846789883920917
16.0 50087.0 1.1255067907644063e-5 0.012891983460032326 25.874976168675076 0.008531891690468814
16.0 50087.0 6.167441582039182e-6 0.011884517829691911 45.73082639140585 0.011855220912070138
17.0 10838.0 1.7703060545158398e-5 0.0392468002050288 245.56885366225143 0.014770051294518798
19.0 72509.0 5.9326526838256554e-5 0.048960077522929205 77.10249198185178 0.02655653356591556
19.0 72509.0 2.8625293586400587e-5 0.038994535925527304 170.5870338963274 0.006313152351102422
21.0 52035.0 5.755814801660275e-6 0.00768485611459752 50.12377341780127 0.015615857415911493
21.0 52035.0 4.69932488792554e-6 0.006322403990479517 74.95948883187295 0.025123058735224833
