# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.641258664596474
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.0114137569610482
# max_planets_in_clusters: 15
# power_law_P: 0.9643066563978671
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -2.1575222676091865
# power_law_r2: -2.4860824857446735
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5213590355760602
# sigma_incl: 25.148257829946175
# sigma_incl_near_mmr: 0.9772386157794677
# sigma_hk: 0.012789537255334871
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.26292303451154153
# sigma_logperiod_per_pl_in_cluster: 0.1940302911846695
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,15951.0,0.882,0.75621426,1.0
2.0,45143.0,1.143,1.3918958,6.0
3.0,69399.0,1.755,1.7549016,6.0
4.0,77763.0,0.753,0.5634384,7.0
5.0,62652.0,0.939,0.9970712,7.0
6.0,72030.0,0.952,0.7497463,0.0
7.0,57729.0,1.261,1.4363934,4.0
8.0,19303.0,0.559,0.72641456,1.0
9.0,51319.0,0.862,0.9115672,2.0
10.0,68469.0,1.063,1.1266448,1.0
11.0,4070.0,1.03,0.8385913,1.0
12.0,55823.0,0.98,1.2923486,6.0
13.0,6345.0,0.952,1.2435857,3.0
14.0,6846.0,0.616,0.6283654,7.0
15.0,11147.0,1.021,1.1217194,3.0
16.0,71735.0,1.085,1.0744672,2.0
17.0,67234.0,0.736,1.013021,1.0
18.0,73434.0,1.066,1.0354308,5.0
19.0,59788.0,1.021,1.3182076,0.0
20.0,67397.0,0.951,0.6572384,2.0
21.0,57094.0,0.765,0.72044295,3.0
22.0,13913.0,0.9,0.87516636,7.0
23.0,17627.0,0.99,1.1737671,9.0
24.0,37022.0,1.17,1.3994783,6.0
25.0,35950.0,1.045,1.4921784,8.0
26.0,25322.0,0.937,0.8032899,5.0
27.0,46927.0,1.007,1.0251108,3.0
28.0,27850.0,1.313,1.4078618,3.0
29.0,40560.0,1.004,0.95611584,9.0
30.0,19516.0,0.761,1.0034808,2.0
31.0,35103.0,0.822,0.8722099,5.0
32.0,2713.0,0.986,0.8753539,4.0
33.0,69517.0,1.032,0.9624685,8.0
34.0,8076.0,1.071,1.1146301,5.0
35.0,17407.0,1.103,0.9433812,3.0
36.0,7619.0,0.832,1.0914177,7.0
37.0,57814.0,0.913,0.8279558,5.0
38.0,78765.0,0.926,1.3840166,5.0
39.0,8507.0,0.847,0.7222393,0.0
40.0,56149.0,0.765,1.3094227,2.0
41.0,19983.0,0.904,0.94819015,2.0
42.0,55485.0,0.938,0.94994825,0.0
43.0,69204.0,0.531,0.7186651,3.0
44.0,33521.0,0.933,1.5937103,2.0
45.0,56215.0,0.97,0.8999352,6.0
46.0,4435.0,0.875,0.9574306,6.0
47.0,58343.0,0.948,0.9925595,4.0
48.0,57517.0,0.767,0.72937286,3.0
49.0,37104.0,1.05,1.2801548,7.0
50.0,75654.0,0.673,0.6588525,9.0
51.0,40749.0,0.979,0.96136564,4.0
52.0,25085.0,1.083,1.3098302,6.0
53.0,582.0,1.23,1.6884649,0.0
54.0,57489.0,0.911,1.4091117,3.0
55.0,58338.0,0.892,1.2984787,3.0
56.0,48136.0,1.002,0.98804045,0.0
57.0,37572.0,0.994,1.1232975,4.0
58.0,1092.0,0.901,1.1787703,6.0
59.0,61556.0,0.828,0.79442775,7.0
60.0,60104.0,0.584,0.70652854,4.0
61.0,12338.0,1.406,1.5801965,5.0
62.0,12006.0,1.009,1.1354388,6.0
63.0,62419.0,0.622,0.8408438,5.0
64.0,71649.0,1.005,0.92902744,2.0
65.0,51596.0,0.989,1.1118551,5.0
66.0,78382.0,1.065,1.2598838,7.0
67.0,69656.0,0.976,1.4366907,0.0
68.0,23330.0,1.03,1.284883,5.0
69.0,51196.0,0.94,0.8894806,4.0
70.0,47403.0,1.074,1.0582764,0.0
71.0,522.0,0.928,1.1868231,6.0
72.0,31510.0,0.644,0.66076016,2.0
73.0,55791.0,1.074,1.5287623,8.0
74.0,10113.0,1.129,1.0741037,10.0
75.0,62450.0,1.057,1.0599195,10.0
76.0,25108.0,0.831,0.8231927,6.0
77.0,19977.0,0.749,0.8488793,0.0
78.0,1665.0,1.018,0.913048,0.0
79.0,19992.0,0.939,1.2870164,1.0
80.0,13601.0,1.053,1.3904667,0.0
81.0,40783.0,0.73,0.65422505,2.0
82.0,52491.0,0.831,0.99068016,4.0
83.0,48473.0,1.039,1.0064025,5.0
84.0,40692.0,0.86,0.76476127,3.0
85.0,56274.0,1.079,0.992102,0.0
86.0,64601.0,0.818,1.1414547,5.0
87.0,10578.0,0.589,0.7029335,2.0
88.0,78187.0,1.362,1.7189783,1.0
89.0,30729.0,1.038,1.482346,11.0
90.0,2109.0,0.795,0.56915677,4.0
91.0,49958.0,0.815,0.64290595,7.0
92.0,25302.0,1.038,0.90556026,5.0
93.0,57915.0,0.898,0.9941296,2.0
94.0,14930.0,1.12,1.9066348,9.0
95.0,19138.0,0.991,0.8197086,1.0
96.0,39895.0,1.031,1.1389638,2.0
97.0,8758.0,0.723,0.54332614,4.0
98.0,38460.0,1.132,1.2109681,5.0
99.0,3150.0,0.952,0.77312547,6.0
100.0,44086.0,1.039,1.1764399,4.0
101.0,48013.0,0.793,0.7226615,8.0
102.0,40850.0,0.89,0.99590176,2.0
103.0,45136.0,0.845,0.81938624,4.0
104.0,43405.0,1.043,1.1640666,7.0
105.0,77749.0,1.069,1.3867052,5.0
106.0,33147.0,1.07,1.3187232,4.0
107.0,77342.0,1.034,0.87117,0.0
108.0,21685.0,1.037,1.3433458,6.0
109.0,63297.0,1.088,1.1040164,3.0
110.0,46738.0,1.09,1.1670891,4.0
111.0,12693.0,0.864,0.8317968,5.0
112.0,43326.0,0.917,1.2607007,5.0
113.0,1875.0,0.748,0.6833141,5.0
114.0,35731.0,1.211,1.2597622,2.0
115.0,62022.0,0.678,0.67875904,4.0
116.0,23206.0,1.349,0.98781526,3.0
117.0,51315.0,1.021,1.1247464,3.0
118.0,49000.0,0.869,0.8248268,6.0
119.0,60161.0,0.981,1.4355841,2.0
120.0,23295.0,1.225,1.2066662,4.0
121.0,11368.0,1.235,0.9907796,5.0
122.0,12546.0,1.056,1.0147388,7.0
123.0,41481.0,0.974,1.0299103,5.0
124.0,38291.0,1.15,1.2758201,6.0
