# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.23151085118766013
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.5696485848432564
# max_planets_in_clusters: 15
# power_law_P: 1.0192104521863938
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.5035875816470785
# power_law_r2: -3.4744340852430984
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4084914784888184
# sigma_incl: 20.024781054259755
# sigma_incl_near_mmr: 1.5458711448220952
# sigma_hk: 0.025584828316075704
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.23629223948104477
# sigma_logperiod_per_pl_in_cluster: 0.18728409851401928
#
target_id,star_id,star_mass,star_radius,num_obs_planets
21.0,9166.0,0.929,0.93282366,1.0
56.0,47065.0,0.926,0.8940454,1.0
223.0,22354.0,1.022,1.1654471,1.0
233.0,45941.0,0.847,1.4278008,1.0
379.0,54176.0,0.924,0.88029164,1.0
471.0,16595.0,1.09,1.0475082,1.0
474.0,28287.0,0.895,1.4174312,1.0
521.0,36829.0,1.461,1.6542821,1.0
537.0,42556.0,1.06,1.1702211,1.0
538.0,19801.0,1.052,1.5452974,1.0
545.0,67851.0,1.134,1.1878841,1.0
636.0,48672.0,0.975,1.1101207,1.0
652.0,37666.0,0.861,1.0791126,1.0
686.0,72661.0,0.929,0.95752686,1.0
705.0,70593.0,0.881,1.2903565,1.0
742.0,79631.0,1.006,1.0411384,1.0
793.0,6208.0,1.072,1.4193488,1.0
795.0,47898.0,1.004,1.7088274,1.0
800.0,1878.0,0.771,0.7773979,1.0
900.0,44509.0,1.059,0.90080756,1.0
940.0,55992.0,0.954,0.8847733,1.0
958.0,40630.0,1.183,1.3881885,1.0
1097.0,63251.0,1.083,1.4527072,1.0
1163.0,72091.0,1.021,1.0919334,1.0
1240.0,5526.0,0.975,0.9009662,1.0
1405.0,11090.0,1.095,1.2487718,1.0
1417.0,28389.0,0.914,0.81562895,1.0
1522.0,10113.0,1.129,1.0741037,1.0
1570.0,46682.0,1.66,1.3390949,1.0
1589.0,34306.0,0.693,0.8297599,1.0
1660.0,77523.0,1.119,1.0691992,1.0
1729.0,29894.0,0.949,0.9472951,1.0
1849.0,66493.0,1.227,1.2122452,1.0
1941.0,69001.0,1.022,0.8331476,1.0
2018.0,14582.0,1.344,1.7706904,1.0
2092.0,40737.0,0.925,1.2457423,1.0
2148.0,20254.0,1.046,1.2647725,1.0
2174.0,30659.0,0.92,0.9306456,1.0
2186.0,53868.0,0.574,0.62920773,1.0
2207.0,1850.0,0.969,0.90240246,1.0
2323.0,60189.0,0.752,0.69223994,1.0
2349.0,21283.0,0.974,0.8890518,1.0
2406.0,67563.0,1.056,1.448106,1.0
2612.0,39241.0,1.07,1.253997,1.0
2659.0,19108.0,0.726,0.62900484,1.0
2740.0,5008.0,0.973,1.3410829,1.0
2793.0,22151.0,1.289,1.5230333,1.0
2874.0,2894.0,0.812,1.0537574,1.0
2907.0,78489.0,1.184,1.7002727,1.0
2957.0,62595.0,1.794,1.4934392,1.0
3028.0,10682.0,0.981,0.8550574,1.0
3154.0,52011.0,1.05,1.0679668,1.0
3157.0,1825.0,0.874,0.68743664,1.0
3215.0,17180.0,0.812,0.7535428,1.0
3445.0,60624.0,0.933,1.1757599,1.0
3485.0,8870.0,1.132,1.4083459,1.0
3591.0,49747.0,0.886,1.0858114,1.0
3595.0,79615.0,1.019,1.1325654,1.0
3632.0,66129.0,0.889,0.8177813,1.0
3671.0,64865.0,1.05,0.9918283,1.0
3704.0,74848.0,0.657,0.5841805,1.0
3898.0,6761.0,0.83,0.9816595,1.0
4031.0,66878.0,0.816,1.0191699,1.0
