# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.25308114068932386
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.5437032346200177
# max_planets_in_clusters: 15
# power_law_P: 0.6582031717743637
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.3886256783483688
# power_law_r2: -3.1089616710274752
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.38387659391129625
# sigma_incl: 61.2594722724112
# sigma_incl_near_mmr: 1.5693603839613501
# sigma_hk: 0.013729243272353465
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.4265683646443671
# sigma_logperiod_per_pl_in_cluster: 0.20267866856335875
#
target_id,star_id,star_mass,star_radius,num_planets
122.0,576.0,0.893,0.8565613,3.0
123.0,19747.0,0.738,1.0994414,0.0
124.0,51406.0,1.181,1.3183736,0.0
125.0,29613.0,1.066,1.4342312,5.0
126.0,71312.0,0.559,0.73469853,0.0
127.0,69725.0,0.9,1.013407,2.0
128.0,62753.0,1.114,1.4036944,2.0
129.0,43067.0,1.148,1.5912337,0.0
130.0,37852.0,0.83,0.72699636,0.0
131.0,30805.0,1.0,1.2452774,3.0
132.0,44072.0,0.91,1.2739832,0.0
133.0,16681.0,0.846,1.3910215,0.0
134.0,30679.0,0.778,0.71142906,4.0
135.0,61040.0,0.777,0.6846241,0.0
136.0,6525.0,1.177,1.3643284,5.0
137.0,55049.0,1.054,1.2274632,0.0
138.0,3990.0,0.616,0.70921695,0.0
139.0,65754.0,1.102,1.1035107,0.0
140.0,53234.0,0.961,1.0984539,0.0
141.0,11448.0,0.723,1.0293298,0.0
142.0,38650.0,0.965,1.0034512,7.0
143.0,22319.0,1.196,1.4046886,5.0
144.0,22632.0,0.843,1.1070259,0.0
145.0,22501.0,0.75,0.84593177,6.0
146.0,66659.0,1.391,1.5748032,0.0
147.0,13743.0,1.015,1.2933455,8.0
148.0,2389.0,0.845,1.1946071,0.0
149.0,53325.0,0.813,0.8684979,5.0
150.0,26604.0,1.045,1.6912308,0.0
151.0,45500.0,0.782,0.8715326,4.0
152.0,22226.0,1.387,1.219088,5.0
153.0,43166.0,0.923,0.8965553,2.0
154.0,44240.0,0.933,0.96890944,0.0
155.0,43930.0,1.012,1.3487025,0.0
156.0,59052.0,1.061,1.323924,0.0
157.0,17263.0,0.918,0.88811547,0.0
158.0,11866.0,0.743,0.8862133,0.0
159.0,4163.0,1.205,1.1765504,4.0
160.0,46546.0,0.955,0.95628464,7.0
161.0,1828.0,1.196,1.05844,4.0
162.0,5723.0,1.079,1.4092005,0.0
163.0,6190.0,0.871,0.8832699,5.0
164.0,26292.0,0.948,0.7152948,6.0
165.0,54130.0,0.687,1.0022957,0.0
166.0,5668.0,1.104,1.3211325,0.0
167.0,31084.0,1.007,0.9066258,0.0
168.0,26529.0,0.953,0.97035205,5.0
169.0,53291.0,0.852,0.99633294,0.0
170.0,42206.0,1.003,0.9165778,0.0
171.0,73134.0,1.216,1.0527987,0.0
172.0,78305.0,0.82,0.76532364,0.0
173.0,23197.0,0.664,0.55765724,5.0
174.0,46845.0,0.942,1.016794,0.0
175.0,14421.0,0.706,0.58674616,0.0
176.0,37768.0,1.048,1.1309385,0.0
177.0,2781.0,0.736,0.79076535,4.0
178.0,75985.0,1.025,1.3528931,0.0
179.0,47816.0,1.15,1.5703297,5.0
180.0,76772.0,1.128,1.7982312,0.0
181.0,75763.0,1.012,1.3673595,0.0
182.0,65769.0,0.855,0.72322166,0.0
183.0,65666.0,0.987,0.963764,5.0
184.0,12509.0,0.857,0.79355705,6.0
185.0,29134.0,0.969,1.0230801,0.0
186.0,10797.0,1.057,1.2190675,4.0
187.0,41700.0,0.973,1.3616488,4.0
188.0,62044.0,1.108,1.44461,7.0
189.0,79445.0,0.948,1.0619249,5.0
190.0,27808.0,0.743,0.8704837,2.0
191.0,42309.0,1.083,1.1631439,0.0
192.0,26404.0,0.639,0.68719494,6.0
193.0,59406.0,0.795,0.93369746,1.0
194.0,73188.0,1.253,1.2661792,0.0
195.0,64040.0,0.835,1.2087667,0.0
196.0,50734.0,1.399,1.619371,7.0
197.0,42322.0,0.871,1.400703,0.0
198.0,76531.0,0.921,1.1058854,0.0
199.0,44195.0,1.145,1.4516264,8.0
200.0,35959.0,0.776,0.7470475,0.0
201.0,47244.0,1.174,1.4110922,0.0
202.0,63883.0,1.072,1.5639037,0.0
203.0,44697.0,0.687,0.7915158,0.0
204.0,72867.0,1.05,0.66531974,4.0
205.0,8099.0,0.578,0.68930614,0.0
206.0,11521.0,0.839,1.3546362,6.0
207.0,20957.0,0.917,1.1756423,0.0
208.0,49691.0,0.892,1.2050128,0.0
209.0,52681.0,0.702,0.50199884,2.0
210.0,59208.0,1.004,0.9109659,2.0
211.0,16715.0,0.859,0.8326127,0.0
212.0,67286.0,0.99,1.4584528,10.0
213.0,19019.0,0.731,0.6354116,6.0
214.0,54992.0,1.005,0.902161,0.0
215.0,37906.0,0.845,1.302163,5.0
216.0,56968.0,1.074,1.3290474,5.0
217.0,9105.0,0.901,0.8030169,4.0
218.0,9605.0,0.996,1.114727,0.0
219.0,9975.0,0.956,0.9449836,7.0
220.0,32803.0,0.863,1.1100545,3.0
221.0,32798.0,1.265,1.6675197,0.0
222.0,7143.0,0.808,0.7649762,5.0
223.0,62941.0,0.841,0.6912121,0.0
224.0,79812.0,0.961,0.86454815,0.0
225.0,58519.0,0.913,0.8604302,0.0
