# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.12444796007735781
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.1233028576339399
# max_planets_in_clusters: 15
# power_law_P: -0.07218672709817531
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.2353058303615843
# power_law_r2: -4.50695074569
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5494987387989102
# sigma_incl: 15.16361220737659
# sigma_incl_near_mmr: 0.8292731414856793
# sigma_hk: 0.01047500469736904
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.3330108675991008
# sigma_logperiod_per_pl_in_cluster: 0.18066583886992013
#
target_id,star_id,star_mass,star_radius,num_obs_planets
93.0,59561.0,1.026,1.3744478,1.0
166.0,77832.0,1.006,1.0485439,1.0
216.0,77390.0,0.942,1.482455,1.0
285.0,68346.0,0.933,1.0876628,1.0
318.0,10661.0,0.748,0.7264343,1.0
355.0,31953.0,0.698,0.74870104,1.0
385.0,11171.0,0.745,0.74373347,1.0
417.0,47563.0,1.099,1.1003337,1.0
529.0,45803.0,1.04,1.2439318,1.0
544.0,66981.0,1.104,1.2931615,1.0
553.0,49721.0,1.028,1.4074628,1.0
597.0,31350.0,0.987,0.9001361,1.0
628.0,5268.0,0.913,1.115139,1.0
945.0,38338.0,1.233,1.4067721,1.0
1094.0,953.0,0.997,1.0525093,1.0
1219.0,48975.0,1.075,1.101614,1.0
1350.0,6124.0,0.638,1.057734,1.0
1363.0,30650.0,0.804,1.3732649,1.0
1374.0,59563.0,0.789,0.9845744,1.0
1438.0,30373.0,0.909,0.9888588,1.0
1714.0,61367.0,0.723,0.6315046,1.0
1802.0,71964.0,0.886,1.1808984,1.0
1811.0,53717.0,1.022,1.2761854,1.0
1879.0,63286.0,1.04,1.1825358,1.0
1884.0,75996.0,0.84,0.8197868,1.0
1982.0,78485.0,1.011,1.3786451,1.0
1986.0,21494.0,0.647,0.674977,1.0
1999.0,60719.0,1.048,1.059252,1.0
2064.0,67654.0,0.76,0.93292814,1.0
2099.0,26108.0,1.26,1.4122351,1.0
2106.0,10464.0,0.856,0.8762693,1.0
2119.0,19301.0,1.056,1.1487681,1.0
2237.0,43157.0,0.936,0.77679825,1.0
2330.0,2466.0,1.281,1.2708068,1.0
2336.0,47162.0,0.859,0.9677836,1.0
2412.0,49358.0,0.68,0.8364814,1.0
2443.0,48123.0,1.143,1.0921327,1.0
2498.0,75945.0,0.917,1.2258339,1.0
2517.0,71871.0,0.695,0.7768341,1.0
2518.0,58101.0,0.814,0.954191,1.0
2526.0,64334.0,3.479,1.8166603,1.0
2552.0,48208.0,0.753,0.844612,1.0
2575.0,15126.0,1.514,1.4852813,1.0
2578.0,73164.0,0.727,0.83376837,1.0
2717.0,26704.0,0.925,1.0604581,1.0
2879.0,45443.0,1.349,1.5129702,1.0
2883.0,58512.0,1.083,1.2737355,1.0
2959.0,28236.0,0.937,1.0810398,1.0
3020.0,48616.0,0.783,0.960811,1.0
3071.0,48509.0,0.874,0.8788129,1.0
3111.0,14494.0,0.711,0.79477125,1.0
3166.0,10325.0,0.932,0.93940616,1.0
3258.0,4022.0,0.78,1.0592791,1.0
3326.0,27864.0,0.69,0.77979726,1.0
3693.0,60790.0,0.947,1.0573523,1.0
3724.0,2264.0,1.282,1.463732,1.0
3798.0,42320.0,0.907,1.5849369,1.0
3807.0,40767.0,1.051,1.7003932,1.0
3867.0,18468.0,1.009,1.0094987,1.0
3938.0,66394.0,0.939,0.8426199,1.0
4036.0,76103.0,1.012,1.323479,1.0
4102.0,2765.0,1.068,1.0841773,1.0
4195.0,55006.0,1.209,1.395776,1.0
4246.0,47776.0,0.697,0.72184396,1.0
4310.0,13125.0,1.074,1.2796189,1.0
4338.0,13055.0,1.193,0.9787862,1.0
4348.0,29222.0,1.028,0.9577642,1.0
4452.0,9109.0,1.0,1.0152947,1.0
4668.0,12748.0,0.693,0.6985232,1.0
4802.0,51492.0,0.988,1.0265106,1.0
4961.0,69180.0,0.96,0.8276774,1.0
5052.0,27609.0,0.812,1.0952879,1.0
5096.0,23297.0,1.156,1.2077849,1.0
5182.0,68644.0,0.803,0.8646705,1.0
5185.0,29979.0,0.773,0.9378599,1.0
5262.0,74634.0,1.049,1.38334,1.0
5310.0,19872.0,0.817,1.0077882,1.0
5319.0,48226.0,1.169,1.1037533,1.0
5363.0,39561.0,1.042,1.6167312,1.0
5389.0,61322.0,0.984,0.93885595,1.0
5391.0,21495.0,0.972,1.0963069,1.0
5420.0,65785.0,1.088,0.88299125,1.0
5579.0,55350.0,0.898,1.0218228,1.0
5580.0,65491.0,1.068,1.0401514,1.0
5720.0,62647.0,0.608,0.57280326,1.0
5851.0,46658.0,1.07,1.4556624,1.0
6085.0,18528.0,0.888,1.3987623,1.0
6249.0,36393.0,1.016,1.1942647,1.0
6312.0,78870.0,0.858,1.1173093,1.0
6407.0,61411.0,1.154,1.4580775,1.0
6419.0,17425.0,1.316,1.8515424,1.0
