# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.09431633345355517
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.7609626999185176
# max_planets_in_clusters: 15
# power_law_P: -0.2270326954795583
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.1645830855452113
# power_law_r2: -5.056583363726988
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4345866050465299
# sigma_incl: 60.93851574583843
# sigma_incl_near_mmr: 1.2919166767629235
# sigma_hk: 0.01435088064538711
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.2041217856477835
# sigma_logperiod_per_pl_in_cluster: 0.1650957538628411
#
target_id,star_id,star_mass,star_radius,num_obs_planets
29.0,24058.0,1.072,1.2917812,1.0
56.0,30903.0,0.923,1.0890417,1.0
110.0,9140.0,1.01,1.2791573,1.0
151.0,72632.0,1.03,1.6412582,1.0
235.0,77233.0,0.784,0.9041051,1.0
289.0,45375.0,0.864,1.0124755,1.0
331.0,71712.0,1.16,1.2945143,1.0
344.0,52170.0,0.991,1.1913818,1.0
421.0,32511.0,0.771,0.7870784,1.0
431.0,43565.0,0.89,1.3381184,1.0
564.0,61967.0,0.88,1.0244116,1.0
584.0,7330.0,0.806,0.62753135,1.0
604.0,14616.0,0.864,1.1603147,1.0
621.0,15295.0,1.08,1.137804,1.0
661.0,10154.0,0.857,1.0403048,1.0
676.0,68096.0,1.178,1.3142904,1.0
710.0,70873.0,1.166,1.6133312,1.0
744.0,72679.0,0.803,0.81236255,1.0
785.0,51017.0,0.898,0.8552259,1.0
820.0,44272.0,0.555,0.6717962,1.0
877.0,71372.0,1.15,1.2284608,1.0
978.0,43465.0,1.1,1.6113522,1.0
1041.0,41143.0,0.669,0.52499634,1.0
1053.0,35406.0,1.256,1.339025,1.0
1200.0,41026.0,0.91,0.8844317,1.0
1201.0,22759.0,0.855,1.4279013,1.0
1265.0,70297.0,1.096,1.136608,1.0
1336.0,53762.0,0.753,0.81188667,1.0
1342.0,63593.0,1.093,1.489363,1.0
1415.0,45202.0,1.047,1.4051747,1.0
1430.0,10950.0,1.089,1.4625624,1.0
1452.0,41584.0,1.678,1.550843,1.0
1453.0,27656.0,1.052,1.3907018,1.0
1778.0,70695.0,0.527,0.6888366,1.0
1797.0,78993.0,0.873,0.76789135,1.0
1871.0,20794.0,0.728,0.54928315,1.0
2081.0,6068.0,0.596,0.58203715,1.0
2324.0,1348.0,1.04,0.9455319,1.0
2397.0,64975.0,1.049,0.86383444,1.0
2405.0,36122.0,0.943,1.1507341,1.0
2510.0,48875.0,0.989,0.8472097,1.0
2535.0,50338.0,1.215,1.2761431,1.0
2588.0,31513.0,0.91,0.8821385,1.0
2600.0,63116.0,0.997,1.1196764,1.0
2732.0,66800.0,1.148,1.6037472,1.0
2922.0,32303.0,0.734,0.8750215,1.0
3031.0,20942.0,0.921,1.1832732,1.0
3067.0,45312.0,1.16,1.4447919,1.0
3119.0,8635.0,0.801,0.74069375,1.0
3185.0,4995.0,0.895,0.77320874,1.0
3200.0,59556.0,0.85,0.89326596,1.0
3317.0,24855.0,1.189,1.0020033,1.0
3358.0,55372.0,0.679,0.5398153,1.0
3376.0,78023.0,1.131,1.1761742,1.0
3445.0,73285.0,0.785,0.8789554,1.0
3481.0,68741.0,0.503,0.7870478,1.0
3491.0,67237.0,0.924,1.6710278,1.0
3654.0,65284.0,0.964,1.3114618,1.0
3660.0,38959.0,1.646,1.3225437,1.0
3698.0,23972.0,0.762,0.77087414,1.0
3804.0,25888.0,1.161,1.0166984,1.0
3843.0,49128.0,1.107,1.0081949,1.0
4146.0,52993.0,0.925,1.3506048,1.0
4178.0,63809.0,0.931,0.8194969,1.0
4189.0,30916.0,0.842,0.9463311,1.0
4244.0,716.0,0.941,1.2561487,1.0
4473.0,66763.0,1.111,0.7967766,1.0
4487.0,12613.0,1.21,1.296829,1.0
4594.0,30364.0,0.872,0.9169602,1.0
4605.0,44965.0,0.827,1.4278026,1.0
4649.0,68731.0,1.095,0.9101143,1.0
4734.0,15326.0,1.358,1.990092,1.0
4753.0,39691.0,0.678,0.84574527,1.0
4787.0,59905.0,0.698,1.004417,1.0
5062.0,39350.0,0.975,1.0667148,1.0
5127.0,69388.0,0.653,0.82788414,1.0
5176.0,18959.0,1.02,1.0285506,1.0
5225.0,75578.0,0.986,0.8863847,1.0
5338.0,44639.0,1.207,1.2061988,1.0
5347.0,79606.0,1.071,1.1523626,1.0
5393.0,33532.0,0.98,1.1548094,1.0
5484.0,41074.0,0.938,1.3968291,1.0
5487.0,7743.0,1.057,1.0476741,1.0
5607.0,60831.0,0.811,0.7798353,1.0
5663.0,61315.0,0.656,0.64483,1.0
5847.0,12561.0,1.11,1.0650369,1.0
5902.0,39574.0,0.893,0.79850054,1.0
5961.0,3005.0,1.23,1.2412809,1.0
6031.0,78719.0,0.819,1.0461532,1.0
6247.0,52476.0,0.944,0.62945414,1.0
6310.0,49973.0,1.019,1.2500389,1.0
6313.0,28150.0,0.723,0.72465444,1.0
6369.0,25155.0,0.937,1.2992572,1.0
6587.0,7093.0,1.136,1.3566351,1.0
6792.0,36361.0,1.003,1.2417179,1.0
6827.0,26053.0,0.882,1.4344114,1.0
6968.0,54269.0,1.03,0.9182891,1.0
7100.0,22379.0,0.525,0.7967811,1.0
7209.0,36388.0,1.15,1.2500063,1.0
