# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.488845945095873
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.4894242704680343
# max_planets_in_clusters: 15
# power_law_P: 0.6162717493048133
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -0.5411530000654432
# power_law_r2: -4.659319655865484
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.44089764090595773
# sigma_incl: 72.98199050523533
# sigma_incl_near_mmr: 1.5979202853180539
# sigma_hk: 0.020459919351431377
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.3333527244800729
# sigma_logperiod_per_pl_in_cluster: 0.18456397101240957
#
target_id,star_id,star_mass,star_radius,num_obs_planets
4.0,20144.0,0.793,1.119989,1.0
26.0,78430.0,0.754,0.62146884,1.0
47.0,58324.0,0.955,0.87470675,1.0
93.0,43469.0,1.154,1.510945,1.0
204.0,46624.0,1.174,1.3183341,1.0
262.0,73618.0,1.003,0.95532197,1.0
341.0,31857.0,1.007,1.2400907,1.0
423.0,60795.0,1.183,1.388895,1.0
558.0,76647.0,1.106,1.3690825,1.0
640.0,39089.0,0.985,1.1337287,1.0
693.0,68661.0,1.049,1.052066,1.0
712.0,54900.0,0.822,0.9798158,1.0
808.0,44337.0,0.953,1.2808181,1.0
831.0,26460.0,0.917,1.2730919,1.0
840.0,70167.0,0.917,1.0550036,1.0
1061.0,61706.0,0.868,1.0940086,1.0
1181.0,1344.0,1.25,1.673633,1.0
1252.0,63443.0,1.091,1.6894116,1.0
1392.0,64618.0,1.047,1.0832473,1.0
1464.0,36897.0,0.896,1.0441873,1.0
1469.0,17897.0,0.89,0.8160068,1.0
1481.0,6483.0,1.593,1.7085534,1.0
1559.0,49835.0,1.175,1.7942864,1.0
1685.0,64654.0,0.837,1.1303625,1.0
1687.0,14440.0,0.856,0.7944109,1.0
1695.0,43421.0,2.214,1.4746474,1.0
1966.0,24021.0,1.194,1.6956532,1.0
2351.0,69852.0,0.764,0.93232286,1.0
2513.0,18624.0,1.144,1.0239499,1.0
2558.0,36919.0,0.972,0.9940508,1.0
2676.0,24554.0,1.279,1.4452084,1.0
2706.0,34145.0,1.226,1.784022,1.0
2749.0,24051.0,0.949,0.9507535,1.0
2875.0,14949.0,1.168,1.2801698,1.0
3011.0,66731.0,2.267,1.7679095,1.0
3115.0,44433.0,0.938,1.3773513,1.0
3170.0,70408.0,1.075,1.6189708,1.0
3225.0,17563.0,0.577,0.6341875,1.0
3334.0,40312.0,0.946,0.9786866,1.0
3342.0,59535.0,0.919,1.0125362,1.0
3674.0,27660.0,1.164,1.2799699,1.0
3733.0,25467.0,1.141,1.5623329,1.0
3780.0,28877.0,0.816,1.3604507,1.0
3812.0,62681.0,1.187,1.4082451,1.0
3822.0,36452.0,0.744,1.1470295,1.0
3898.0,19768.0,1.0,0.9144399,1.0
3925.0,76825.0,1.012,1.5659826,1.0
4032.0,11928.0,1.079,1.4841529,1.0
4034.0,11691.0,0.812,0.6819515,1.0
4147.0,11629.0,0.844,0.82382786,1.0
4230.0,61967.0,0.88,1.0244116,1.0
4262.0,65331.0,0.996,1.0423731,1.0
4358.0,23810.0,0.977,1.4636112,1.0
4387.0,14631.0,0.951,1.258737,1.0
4416.0,47760.0,0.869,0.81973135,1.0
4485.0,2949.0,1.101,1.1928439,1.0
4557.0,24.0,1.038,0.94952697,1.0
4676.0,10296.0,0.989,1.0892636,1.0
4700.0,7004.0,0.717,0.5486364,1.0
4833.0,1587.0,1.084,0.9431321,1.0
4960.0,17980.0,1.313,1.3774523,1.0
5003.0,21629.0,0.923,1.0837026,1.0
5233.0,58675.0,0.831,0.809057,1.0
5288.0,10458.0,0.885,1.2646499,1.0
5414.0,52000.0,0.977,1.2374015,1.0
5477.0,69926.0,1.004,0.9828761,1.0
5496.0,66970.0,1.402,1.3341352,1.0
5528.0,3746.0,1.244,1.4502555,1.0
5690.0,11863.0,1.158,1.3290272,1.0
5756.0,78708.0,0.939,1.0929358,1.0
5764.0,23427.0,1.227,1.263905,1.0
5780.0,43792.0,1.132,1.5015436,1.0
5822.0,1734.0,0.96,1.10156,1.0
5931.0,49638.0,0.613,0.50867885,1.0
6014.0,26805.0,1.068,1.3916903,1.0
6056.0,53673.0,0.778,1.1253815,1.0
6060.0,47984.0,0.888,1.1823719,1.0
6071.0,21113.0,0.992,1.2857275,1.0
6076.0,78879.0,0.629,0.5581791,1.0
6078.0,76489.0,1.047,1.1845435,1.0
6262.0,56456.0,0.919,1.165968,1.0
6330.0,41608.0,0.913,1.2698404,1.0
6357.0,46018.0,0.942,0.99723756,1.0
6365.0,53001.0,0.83,0.8295621,1.0
6432.0,65306.0,0.946,1.0701244,1.0
6597.0,63593.0,1.093,1.489363,1.0
6656.0,9675.0,1.477,1.4890463,1.0
6687.0,75306.0,1.115,1.3943757,1.0
6828.0,71717.0,0.903,0.89241445,1.0
6856.0,63084.0,0.93,0.6754771,1.0
6987.0,65567.0,0.957,0.894704,1.0
7111.0,54880.0,0.633,0.5681502,1.0
7126.0,18397.0,0.765,0.7855645,1.0
7186.0,49609.0,0.973,1.3474921,1.0
7352.0,30561.0,1.004,1.1759675,1.0
7355.0,39400.0,0.794,1.0919003,1.0
7421.0,55189.0,1.197,1.2127409,1.0
7447.0,5969.0,1.043,0.9751812,1.0
7521.0,62197.0,0.868,1.2171918,1.0
7566.0,4169.0,1.048,1.1465267,1.0
7632.0,44607.0,0.95,1.4437177,1.0
7816.0,21097.0,0.897,1.6590393,1.0
7839.0,46309.0,1.041,1.2395215,1.0
