# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.12932973785089008
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.460214250075854
# max_planets_in_clusters: 15
# power_law_P: 0.2509692116430602
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -0.9265663758680169
# power_law_r2: -5.1912164350438506
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.46191122590108125
# sigma_incl: 65.92720545881423
# sigma_incl_near_mmr: 1.1165464340469538
# sigma_hk: 0.028037575003571305
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.32186327613168375
# sigma_logperiod_per_pl_in_cluster: 0.17072286847495782
#
target_id,star_id,star_mass,star_radius,num_obs_planets
2.0,9825.0,0.793,0.7904224,1.0
77.0,10938.0,0.817,0.6899071,1.0
117.0,29209.0,0.675,0.66162455,1.0
236.0,38560.0,1.005,1.3056836,1.0
292.0,79842.0,0.985,1.2307198,1.0
394.0,13717.0,0.81,0.84135693,1.0
422.0,66418.0,0.846,0.8538259,1.0
474.0,33889.0,0.793,0.66755086,1.0
518.0,66105.0,0.989,1.1418405,1.0
578.0,11181.0,0.782,0.90794796,1.0
639.0,62519.0,0.827,0.6907307,1.0
658.0,4941.0,1.104,1.1990441,1.0
697.0,23043.0,0.752,0.957792,1.0
764.0,36380.0,0.989,1.1988498,1.0
790.0,1910.0,1.05,0.9866474,1.0
798.0,66296.0,0.953,0.8370965,1.0
818.0,34157.0,0.548,0.723886,1.0
880.0,22547.0,0.781,0.67642325,1.0
909.0,20639.0,0.612,0.88317823,1.0
995.0,54710.0,0.775,0.72074,1.0
1049.0,47307.0,0.748,1.2197958,1.0
1071.0,60883.0,0.914,0.84817904,1.0
1144.0,59528.0,0.793,0.81490743,1.0
1145.0,15635.0,0.901,1.4266664,1.0
1170.0,55030.0,1.148,1.2382787,1.0
1245.0,60765.0,0.794,0.62000597,1.0
1250.0,44165.0,0.837,0.99580085,1.0
1281.0,35393.0,0.975,1.2189777,1.0
1315.0,9173.0,1.532,1.685999,1.0
1406.0,70409.0,1.029,1.4257045,1.0
1472.0,35750.0,1.083,1.2042392,1.0
1539.0,63337.0,1.128,1.0011866,1.0
1584.0,54205.0,1.043,0.90288275,1.0
1725.0,39881.0,0.763,0.73952574,1.0
1738.0,18611.0,1.135,1.3327206,1.0
1766.0,35405.0,1.197,1.6533811,1.0
1832.0,70349.0,0.961,0.92791986,1.0
1912.0,1730.0,0.82,1.1086562,1.0
1963.0,2505.0,1.028,0.87891334,1.0
1979.0,69392.0,1.091,1.6520381,1.0
2062.0,13765.0,0.919,1.2111194,1.0
2141.0,58145.0,1.008,1.1412826,1.0
2171.0,69033.0,0.95,1.5023289,1.0
2185.0,31851.0,0.992,1.0005121,1.0
2193.0,53101.0,0.789,0.8652198,1.0
2204.0,25757.0,0.858,0.8313181,1.0
2303.0,78273.0,0.992,1.2015337,1.0
2369.0,79217.0,1.095,1.172545,1.0
2372.0,19013.0,1.133,1.5570415,1.0
2495.0,55357.0,1.088,1.1542449,1.0
2630.0,76936.0,1.051,1.2386459,1.0
2699.0,39035.0,1.074,1.4249403,1.0
2703.0,11997.0,1.016,1.4458656,1.0
2726.0,76698.0,1.094,1.4327751,1.0
2849.0,57180.0,0.877,1.0092877,1.0
2917.0,42460.0,0.919,0.9846087,1.0
2929.0,35382.0,1.247,1.15142,1.0
2961.0,65588.0,0.991,1.1679502,1.0
3144.0,69107.0,0.815,0.86456406,1.0
3159.0,9270.0,1.095,1.2611408,1.0
3165.0,12599.0,0.914,1.2965748,1.0
3350.0,7016.0,0.702,0.5975056,1.0
3352.0,30381.0,0.693,0.7698683,1.0
3373.0,75180.0,0.844,0.7397305,1.0
3375.0,2698.0,1.142,1.3866664,1.0
3384.0,3834.0,0.818,0.85899436,1.0
3490.0,20238.0,1.127,1.4376448,1.0
3518.0,61767.0,1.506,1.5239576,1.0
3549.0,54817.0,0.87,1.2032539,1.0
3654.0,64358.0,1.187,1.2627198,1.0
3780.0,17285.0,1.165,1.2556773,1.0
3797.0,4504.0,0.93,0.84386456,1.0
3825.0,74565.0,1.053,0.92670107,1.0
3880.0,47566.0,0.964,0.9184724,1.0
3882.0,73625.0,0.922,1.2089939,1.0
3908.0,45377.0,1.354,1.4722903,1.0
3915.0,68973.0,0.639,0.93082315,1.0
3935.0,9374.0,1.05,1.0025854,1.0
3982.0,52058.0,1.031,1.0851786,1.0
3991.0,31629.0,1.037,1.4096138,1.0
3993.0,49366.0,0.931,1.1502848,1.0
4001.0,79907.0,0.797,0.76907575,1.0
4092.0,50699.0,0.89,0.9745877,1.0
4213.0,78635.0,1.045,1.2356833,1.0
4389.0,40051.0,1.012,1.1584178,1.0
4392.0,10110.0,0.931,0.89914584,1.0
4394.0,63471.0,0.933,0.6954315,1.0
4412.0,748.0,0.942,0.7395882,1.0
4413.0,47344.0,0.832,1.3243396,1.0
4422.0,52360.0,0.904,0.805373,1.0
4578.0,73218.0,0.888,0.97944295,1.0
4609.0,17145.0,0.881,0.74225724,1.0
4631.0,77450.0,0.854,0.68118036,1.0
4695.0,15433.0,0.874,0.7871474,1.0
4731.0,42860.0,0.971,0.92710096,1.0
4764.0,7597.0,1.069,1.1597775,1.0
4794.0,79309.0,0.905,0.7457216,1.0
4811.0,32385.0,1.037,0.97842157,1.0
4838.0,67080.0,1.221,1.1843094,1.0
4874.0,39506.0,0.765,0.6290531,1.0
4954.0,13659.0,0.674,0.86211497,1.0
5099.0,43608.0,0.783,0.9508272,1.0
5218.0,64327.0,0.805,1.161555,1.0
5268.0,39673.0,0.778,0.81742823,1.0
5415.0,56022.0,0.741,0.87169313,1.0
5492.0,67275.0,0.965,1.2747706,1.0
5528.0,70578.0,1.065,1.2139741,1.0
5531.0,24371.0,1.128,2.0892146,1.0
5559.0,25927.0,0.821,0.8748464,1.0
5623.0,56369.0,0.762,0.78610575,1.0
5690.0,23836.0,0.824,0.618227,1.0
5729.0,31702.0,0.938,0.9383592,1.0
5835.0,62883.0,0.893,0.96956646,1.0
5849.0,73912.0,0.928,0.8151922,1.0
5946.0,25550.0,0.702,0.7267636,1.0
5971.0,31052.0,1.057,1.1269383,1.0
6180.0,31053.0,1.012,1.260657,1.0
6201.0,55117.0,0.855,0.898151,1.0
6245.0,75348.0,1.164,1.3695303,1.0
6265.0,24685.0,1.189,1.6388144,1.0
6342.0,36916.0,0.917,0.8674159,1.0
6349.0,12000.0,1.183,1.2249565,1.0
6354.0,50005.0,0.802,0.7340401,1.0
6362.0,76341.0,0.914,1.2155839,1.0
6402.0,29982.0,0.783,0.74192286,1.0
6431.0,1942.0,0.936,0.84679353,1.0
6496.0,78178.0,1.147,1.7432282,1.0
6504.0,34413.0,0.778,0.67088115,1.0
6510.0,49495.0,0.878,0.85047835,1.0
6541.0,55297.0,0.889,0.9278835,1.0
6745.0,58819.0,1.074,1.3420905,1.0
6758.0,15129.0,1.032,0.95861065,1.0
6790.0,51591.0,0.966,1.1028306,1.0
6844.0,64181.0,1.197,1.8044777,1.0
6912.0,47168.0,1.077,1.2849782,1.0
6978.0,35105.0,0.954,1.044968,1.0
7046.0,10893.0,1.175,1.5905061,1.0
7101.0,49786.0,0.991,1.0380329,1.0
7178.0,29737.0,0.886,1.2601849,1.0
7253.0,46438.0,1.065,1.2218273,1.0
7359.0,3122.0,0.741,0.604523,1.0
7414.0,33253.0,1.009,0.97277737,1.0
7417.0,42111.0,0.839,0.77438647,1.0
7437.0,24932.0,0.955,0.91844314,1.0
7526.0,10627.0,0.957,1.0832965,1.0
7698.0,64039.0,1.104,1.1091994,1.0
7736.0,77997.0,0.99,0.94021714,1.0
7802.0,51411.0,0.909,0.9303527,1.0
7864.0,50658.0,0.979,1.0652609,1.0
7941.0,66505.0,0.64,0.6278464,1.0
8056.0,17433.0,0.871,1.354115,1.0
8158.0,51749.0,0.854,0.86278796,1.0
8184.0,11226.0,0.91,0.8281132,1.0
8304.0,33793.0,0.96,1.0401833,1.0
8363.0,36929.0,0.788,1.0298064,1.0
8380.0,40616.0,0.728,1.033084,1.0
8497.0,68787.0,0.874,0.7945443,1.0
8578.0,68381.0,1.028,1.4237365,1.0
8703.0,78615.0,0.891,0.88219225,1.0
8785.0,5983.0,1.079,1.2371563,1.0
8796.0,39962.0,1.032,1.0243322,1.0
8879.0,56704.0,1.196,1.1165919,1.0
8944.0,61753.0,1.077,1.3688695,1.0
9118.0,26299.0,0.958,0.9761801,1.0
9121.0,71633.0,0.821,0.9538085,1.0
9190.0,20665.0,1.207,1.2909,1.0
9194.0,22958.0,0.907,1.1041058,1.0
9317.0,63390.0,0.663,0.6412284,1.0
9465.0,55895.0,0.727,0.87014794,1.0
9550.0,27674.0,1.073,1.6453379,1.0
9573.0,72931.0,0.824,1.1433574,1.0
9586.0,50880.0,1.064,0.99339575,1.0
9592.0,79386.0,1.08,1.7712777,1.0
9621.0,65996.0,0.826,1.1024698,1.0
9632.0,58195.0,0.97,0.9733099,1.0
9657.0,47856.0,0.963,1.0507923,1.0
9663.0,16607.0,1.244,1.7469767,1.0
9725.0,46898.0,0.871,1.0832056,1.0
9746.0,63825.0,0.797,0.8150354,1.0
9791.0,43208.0,1.028,1.4661633,1.0
9975.0,5724.0,0.904,0.88886064,1.0
10019.0,27894.0,1.034,1.3761606,1.0
10097.0,5652.0,0.835,1.195802,1.0
10099.0,16728.0,1.161,1.2028716,1.0
10153.0,70967.0,1.01,1.2027105,1.0
