# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.22060305222976284
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.5633435518921988
# max_planets_in_clusters: 15
# power_law_P: 1.3851450471319917
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.05575454272768
# power_law_r2: -3.458958106463313
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4965981853497219
# sigma_incl: 68.45153583640597
# sigma_incl_near_mmr: 1.696069240106628
# sigma_hk: 0.00805604719651135
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.2781780829576225
# sigma_logperiod_per_pl_in_cluster: 0.21873739791844188
#
target_id,star_id,star_mass,star_radius,num_obs_planets
73.0,71278.0,0.983,1.322191,1.0
195.0,36909.0,1.01,1.1129094,1.0
395.0,60429.0,0.999,1.1555213,1.0
440.0,66483.0,0.952,1.0499301,1.0
507.0,30223.0,0.947,1.0106986,1.0
545.0,53120.0,0.878,0.95165306,1.0
553.0,4885.0,1.093,1.1991873,1.0
567.0,6502.0,0.763,0.8300384,1.0
600.0,7463.0,0.913,0.9146948,1.0
687.0,52334.0,0.94,1.0581251,1.0
701.0,23583.0,0.927,1.0493721,1.0
780.0,48385.0,0.844,1.0142889,1.0
913.0,66396.0,0.91,0.98450494,1.0
1071.0,10709.0,1.032,1.2608732,1.0
1189.0,73341.0,1.081,1.3192647,1.0
1299.0,8169.0,0.907,1.0869242,1.0
1301.0,51801.0,0.993,0.9335714,1.0
1316.0,53462.0,0.988,1.303657,1.0
1426.0,77389.0,0.772,0.7181531,1.0
1445.0,65538.0,0.8,0.61442256,1.0
1526.0,53665.0,0.947,1.1045094,1.0
1587.0,42952.0,0.917,1.0211736,1.0
1625.0,16739.0,1.047,1.1875507,1.0
1658.0,44110.0,0.825,0.86961836,1.0
1706.0,63287.0,1.008,1.2704395,1.0
1876.0,4374.0,0.66,0.6786956,1.0
1978.0,5844.0,1.055,1.0885779,1.0
2145.0,33801.0,1.111,1.1206048,1.0
2146.0,59241.0,0.938,0.8817671,1.0
2222.0,24870.0,0.591,0.6258034,1.0
2257.0,75774.0,0.841,0.82532036,1.0
2423.0,68044.0,1.001,1.2341545,1.0
2530.0,24473.0,1.197,1.377804,1.0
2534.0,42061.0,0.936,0.92357606,1.0
2579.0,7006.0,0.954,1.0575134,1.0
2704.0,50824.0,0.714,0.9595448,1.0
2705.0,35403.0,0.961,1.1604557,1.0
3026.0,8864.0,0.982,0.89043915,1.0
3113.0,70686.0,1.008,1.0267524,1.0
3189.0,14955.0,0.937,1.3964291,1.0
3250.0,77.0,1.031,0.93765527,1.0
3284.0,72018.0,0.735,0.69466865,1.0
3320.0,76417.0,1.161,1.3200018,1.0
3517.0,28645.0,0.739,1.0123812,1.0
3587.0,60146.0,1.055,1.0659242,1.0
3625.0,63268.0,1.161,1.1763304,1.0
3647.0,1967.0,1.26,1.5525013,1.0
3657.0,62635.0,1.059,1.0025918,1.0
3684.0,51833.0,0.807,0.8835452,1.0
3691.0,74731.0,0.959,1.183533,1.0
3915.0,38934.0,1.36,1.5471007,1.0
4134.0,11335.0,1.047,1.720324,1.0
4159.0,43336.0,0.855,1.1784198,1.0
4236.0,69089.0,0.981,0.93803227,1.0
4242.0,74985.0,0.781,0.6316427,1.0
4303.0,17654.0,1.523,1.4001086,1.0
4402.0,17775.0,0.974,0.9531753,1.0
4557.0,10131.0,0.914,0.8665837,1.0
4892.0,18426.0,0.937,0.9100344,1.0
5047.0,49834.0,1.305,1.2143172,1.0
5157.0,66509.0,0.825,0.7956891,1.0
5267.0,7795.0,0.933,0.9580352,1.0
5401.0,40966.0,0.799,0.787854,1.0
5432.0,63570.0,1.099,1.1797692,1.0
5492.0,9882.0,1.098,1.444314,1.0
5517.0,29558.0,0.683,0.68593085,1.0
5558.0,50208.0,0.796,1.0722722,1.0
5598.0,25551.0,0.93,0.97738963,1.0
5599.0,75968.0,0.788,0.96253544,1.0
5652.0,61402.0,0.969,0.9827933,1.0
5675.0,14755.0,1.019,1.417093,1.0
5860.0,56262.0,0.965,0.81449264,1.0
5930.0,73975.0,1.047,1.3354101,1.0
5941.0,31057.0,0.824,1.1944853,1.0
5976.0,66530.0,1.151,1.3651596,1.0
5981.0,18035.0,1.18,1.0073612,1.0
6065.0,40977.0,1.015,1.4092366,1.0
6157.0,79254.0,1.634,1.2452472,1.0
6308.0,49515.0,0.872,1.0853313,1.0
6478.0,61866.0,1.172,1.1146235,1.0
6501.0,63560.0,1.086,1.1060323,1.0
6768.0,37548.0,0.871,1.4118918,1.0
6776.0,22183.0,0.719,0.6890457,1.0
6829.0,12720.0,1.142,1.1631486,1.0
6846.0,44716.0,0.717,0.7628502,1.0
6860.0,76018.0,1.123,1.0095168,1.0
6977.0,64761.0,0.754,0.804402,1.0
7014.0,3387.0,0.89,0.80052143,1.0
7015.0,27583.0,1.467,1.2987419,1.0
7021.0,37967.0,0.812,0.8818575,1.0
7171.0,4290.0,0.758,0.8451256,1.0
7206.0,48389.0,0.769,0.5574335,1.0
7257.0,14060.0,0.819,1.0342011,1.0
7267.0,34968.0,0.596,0.6737667,1.0
7495.0,76958.0,1.132,1.0819972,1.0
7575.0,78756.0,0.771,1.3635464,1.0
7581.0,18828.0,0.845,0.7305874,1.0
7616.0,16052.0,0.926,0.9264816,1.0
7632.0,55795.0,1.067,1.5432603,1.0
7728.0,33766.0,0.984,1.1401136,1.0
7767.0,7069.0,0.843,0.8820583,1.0
7888.0,47709.0,1.101,1.0137267,1.0
7919.0,16874.0,0.938,0.95417994,1.0
