# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.10677953693640918
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.1508795368508724
# max_planets_in_clusters: 15
# power_law_P: 1.0568880429489038
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -0.9377804616207168
# power_law_r2: -4.702010487441208
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.39213847311564554
# sigma_incl: 74.57163502276572
# sigma_incl_near_mmr: 0.9000657114869819
# sigma_hk: 0.016546315149107926
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.22982169018358534
# sigma_logperiod_per_pl_in_cluster: 0.278264040618626
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,74658.0,0.807,0.7888812,3.0
2.0,15908.0,0.716,0.62056845,0.0
3.0,14817.0,0.729,0.69195694,5.0
4.0,13311.0,1.102,1.8232406,0.0
5.0,38752.0,1.343,1.446552,5.0
6.0,58844.0,0.884,1.5596837,2.0
7.0,59397.0,1.088,1.2636344,0.0
8.0,43739.0,0.6,0.6627113,0.0
9.0,40951.0,1.029,0.989601,2.0
10.0,4034.0,1.068,1.2707096,4.0
11.0,63994.0,0.803,0.95526046,5.0
12.0,35583.0,1.014,1.2369018,4.0
13.0,58940.0,0.914,1.5284922,0.0
14.0,68066.0,0.863,1.1078781,6.0
15.0,63467.0,1.063,0.9551897,9.0
16.0,17222.0,1.083,1.2490575,0.0
17.0,59592.0,1.413,1.422832,3.0
18.0,52491.0,0.831,0.99068016,6.0
19.0,26111.0,0.612,0.7798046,0.0
20.0,2591.0,0.977,0.8304222,0.0
21.0,51523.0,0.973,0.9500868,2.0
22.0,24446.0,0.748,0.75125325,3.0
23.0,60413.0,1.038,1.057221,0.0
24.0,58725.0,1.074,1.41538,0.0
25.0,78490.0,1.06,1.4536351,0.0
26.0,71136.0,0.918,1.3139551,0.0
27.0,65134.0,0.824,1.3945239,5.0
28.0,29021.0,0.868,1.125201,1.0
29.0,4359.0,0.729,0.57491565,2.0
30.0,26127.0,0.853,1.0129226,0.0
31.0,1903.0,0.848,0.79136115,2.0
32.0,22522.0,1.194,1.2343761,6.0
33.0,49449.0,0.84,0.8417687,0.0
34.0,8927.0,0.884,1.4704956,0.0
35.0,12466.0,1.015,1.2080141,9.0
36.0,75760.0,0.877,0.89355963,0.0
37.0,68853.0,0.913,0.8721969,0.0
38.0,43886.0,1.091,1.3541832,0.0
39.0,19332.0,1.104,1.2536311,6.0
40.0,59005.0,0.973,1.6023729,0.0
41.0,55701.0,0.998,1.2026477,5.0
42.0,12843.0,0.786,0.77202857,0.0
43.0,17539.0,0.719,0.70294744,5.0
44.0,56527.0,0.704,0.7514571,3.0
45.0,28493.0,0.96,1.1329925,0.0
46.0,53687.0,0.764,0.5706675,1.0
47.0,40743.0,0.938,1.0810814,5.0
48.0,59595.0,1.074,1.1347374,4.0
49.0,53099.0,0.821,0.79475933,0.0
50.0,10324.0,1.081,1.4146177,4.0
51.0,59068.0,0.854,0.71539736,0.0
52.0,8148.0,0.94,0.93410474,8.0
53.0,50181.0,0.886,0.86957437,4.0
54.0,23070.0,1.162,1.2601064,8.0
55.0,10293.0,0.519,0.73007095,1.0
56.0,52171.0,1.011,0.9214602,2.0
57.0,53529.0,0.824,0.79869884,0.0
58.0,60674.0,0.556,0.7155489,4.0
59.0,52223.0,1.137,1.3342196,4.0
60.0,14221.0,1.293,1.1271716,0.0
61.0,41245.0,1.07,1.5907376,0.0
62.0,19081.0,0.773,0.89678377,0.0
63.0,25469.0,0.688,1.0485202,0.0
64.0,79638.0,0.952,1.3578038,0.0
65.0,13730.0,1.132,0.9723992,0.0
66.0,41107.0,0.959,0.8937015,2.0
67.0,22922.0,1.063,1.1620107,0.0
68.0,54709.0,0.901,1.0920157,0.0
69.0,53311.0,1.073,1.1648233,8.0
70.0,51325.0,1.065,1.1407489,3.0
71.0,65691.0,1.063,1.3178855,4.0
72.0,29955.0,0.68,0.81047404,0.0
73.0,4344.0,1.055,1.3787283,0.0
74.0,43773.0,0.805,0.6581555,0.0
75.0,68792.0,1.109,1.2854035,5.0
76.0,41468.0,1.285,1.6330453,0.0
77.0,803.0,1.012,1.2236117,0.0
78.0,30281.0,0.79,1.0728142,4.0
79.0,8157.0,1.197,1.4843574,6.0
80.0,18230.0,1.012,0.9611135,1.0
81.0,27454.0,0.925,1.115741,3.0
82.0,30815.0,1.293,1.5371183,4.0
83.0,38455.0,0.912,0.9861449,0.0
84.0,50239.0,0.984,1.3684627,0.0
85.0,50403.0,0.979,0.89238894,0.0
86.0,51688.0,0.913,0.8752774,4.0
87.0,15245.0,0.921,0.9790405,5.0
88.0,12072.0,1.377,1.7415985,0.0
89.0,78860.0,0.853,0.7828442,1.0
90.0,26273.0,0.902,1.204811,7.0
91.0,12947.0,0.944,0.73200506,4.0
92.0,73687.0,1.124,1.4725752,0.0
93.0,70157.0,1.048,1.068606,4.0
