# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.06266214761619704
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.1299744159385998
# max_planets_in_clusters: 15
# power_law_P: 0.8841315635582041
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.3206725960747407
# power_law_r2: -4.052518323749571
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5495052142040848
# sigma_incl: 16.199981926205393
# sigma_incl_near_mmr: 0.9236525170651062
# sigma_hk: 0.00887671532769455
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.27285992683980287
# sigma_logperiod_per_pl_in_cluster: 0.24584080244637876
#
target_id,star_id,period,depth,duration,star_mass,star_radius
66.0,9.0,15.453288729004733,0.00041057201554797686,0.1536184605599158,0.768,0.73986894
72.0,40449.0,3.41236141112526,5.905163408111617e-5,0.06694145663431955,1.105,1.493791
287.0,69707.0,18.70696224323448,0.00033325467712129003,0.0728879301550375,1.257,1.2336295
289.0,41214.0,10.655828630020409,0.00030421008058638627,0.19365046116630066,1.218,1.4568403
395.0,52954.0,52.83777686939475,0.0003337435530069824,0.2614611087342567,1.047,1.1318231
438.0,25800.0,14.05115521429366,0.00010025264628595187,0.25148002422775145,1.01,1.4137657
484.0,69504.0,58.81276811509218,0.0005082442099984074,0.21389207360458595,0.896,0.90288055
485.0,60826.0,4.3387451452128385,0.001553950869440823,0.1413605158461415,0.961,1.1459833
489.0,59285.0,44.492400217284555,0.0001928237333502707,0.31576472759139323,1.097,1.2067443
559.0,78939.0,3.268253262508098,0.00020140664053310583,0.02492711375476474,1.066,1.2721311
617.0,65298.0,4.212132379852036,0.001710897166123568,0.03212260050502123,0.77,0.796348
694.0,31442.0,24.201606252688205,0.0004806395370736932,0.14051722082767182,1.194,1.275401
