# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.2638724695779181
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.1474924870220597
# max_planets_in_clusters: 15
# power_law_P: 0.8015094636302995
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.8101663677628954
# power_law_r2: -2.640003683660754
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.505583770737488
# sigma_incl: 31.61529485901227
# sigma_incl_near_mmr: 1.0388148215257442
# sigma_hk: 0.00611344115177842
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.2941224159926634
# sigma_logperiod_per_pl_in_cluster: 0.21812125980966668
#
target_id,star_id,period,depth,duration,star_mass,star_radius
31.0,47057.0,4.167578645627314,0.0002721573548879545,0.08589387699852957,0.972,1.1658918
47.0,16211.0,4.113290708286109,0.0001428587502194423,0.08953202791830994,0.993,0.86866474
55.0,41386.0,7.226936307406339,2.8884125034675596e-5,0.13474949434390515,0.98,1.7978975
98.0,57731.0,4.082476252587937,5.10732530760818e-5,0.17444361525653346,1.236,1.5845233
442.0,68030.0,16.643947572978846,0.006962137772426728,0.1545603238297577,0.851,0.8795315
450.0,73777.0,4.296071039012698,8.540492413065317e-5,0.11860826668106995,1.072,1.1784602
477.0,77310.0,4.029655399132829,0.00017099458210541007,0.0607574114659342,0.874,0.81602055
591.0,18555.0,3.7184288493306004,3.863902191729592e-5,0.09310177004835844,1.459,1.4604235
665.0,75405.0,3.251703112453567,0.0004895341599620917,0.0974779290162593,1.05,0.9680128
703.0,57425.0,67.06640818922968,0.00044875546528513687,0.19695749908418045,1.179,1.5749297
891.0,34814.0,6.429868222509026,0.00032156527772652846,0.10464716023793556,1.169,1.1013732
907.0,48868.0,122.02285354753032,0.00040395113063524307,0.31083962229916434,0.764,0.9090868
941.0,47791.0,5.69724746442904,0.0003141749688833198,0.10502358655477602,0.657,0.67953813
1025.0,65996.0,3.299769083929743,9.218021317561097e-5,0.12432125039382984,0.826,1.1024698
1033.0,16524.0,7.795347361055532,0.0001138747799212926,0.15523669197188023,1.107,1.0626135
1140.0,2812.0,5.950983022023298,0.00039041032646714997,0.06840858574566325,0.863,1.1121484
1178.0,20139.0,4.397875252118823,0.0011218060500921782,0.09893279932897871,0.949,0.93773174
1197.0,60145.0,35.6398179846742,0.0004179143169745397,0.09513850601511924,1.047,0.81972617
1255.0,67352.0,6.330770091493348,0.0006393844567089368,0.1002211678955762,0.998,1.0655397
1271.0,6377.0,3.4851240061928257,0.0001060330143926244,0.07095986068856242,0.707,0.78609985
1313.0,21276.0,25.996830689957232,0.00045089852409039996,0.10007391377462521,1.483,1.2317166
1421.0,35724.0,8.45979888284902,5.966446476919522e-5,0.09976727065320515,1.188,1.5404592
1481.0,31103.0,10.799073555478216,0.000721635487383518,0.23412585261968244,1.11,1.466827
1544.0,3567.0,12.008653787806571,0.0002757603697734234,0.21367151485754687,1.143,1.4378589
1612.0,55202.0,96.88484997859943,0.00022823560880388393,0.34629402500171713,0.832,1.1204194
1636.0,41325.0,4.409493970847342,3.566810102373497e-5,0.13018097513937382,1.235,1.9350154
1661.0,60441.0,12.549835006383953,0.0002897819151483155,0.04168480109558744,0.941,1.2955077
1788.0,57501.0,39.81045993514966,9.144885625480889e-5,0.19093773700531635,0.911,1.3163047
1926.0,67556.0,43.03909043216248,0.00011136762500652206,0.4013736778312292,1.22,1.9232876
1964.0,37300.0,19.130779085032707,0.0003571996996698817,0.0931130848423152,1.024,0.9753677
2058.0,75397.0,8.385000341715081,8.185350457548748e-5,0.16384178271965696,1.603,1.2930417
2099.0,37849.0,13.64199517654539,0.00010727502154174719,0.1501499263971335,1.302,1.477705
2111.0,18795.0,13.157551411760378,6.015356603618901e-5,0.238300275679705,1.093,1.3734314
2153.0,75998.0,3.3167747221341286,0.0014316704356907412,0.09255004972539771,0.907,0.9162358
2205.0,56708.0,55.44365289854062,0.0010240808631012666,0.1324185823402913,0.592,0.6352167
2450.0,8503.0,39.238133825141944,0.000183861184646163,0.38580346083161154,0.849,1.4726449
2524.0,32709.0,3.0903204662628063,0.0001161658877400378,0.05890644924901415,1.105,0.97548234
2712.0,17599.0,5.716232254185199,0.0002802241011635784,0.10601418212409382,0.575,0.6753304
2836.0,8755.0,10.682694820732056,0.00012261390553975027,0.14044799343336922,1.05,0.9314913
2920.0,6203.0,29.111741972562015,0.0005735283285897171,0.2179165130089439,1.004,1.1115729
2955.0,70901.0,13.721381067928743,0.0002494449225782347,0.11797429464475415,0.913,1.2061123
2980.0,55208.0,9.781899346503398,0.0007837045221941902,0.042164164096831,0.882,0.84671617
3024.0,62291.0,8.891272463680037,0.004323838770112405,0.06354585421181501,0.696,0.6893305
3059.0,70938.0,3.004270743293828,7.517366708728205e-5,0.14224978585143513,1.143,1.4324849
