# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.40901835178245016
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.264793883182201
# max_planets_in_clusters: 15
# power_law_P: -0.2028249669641753
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -0.6930272119115832
# power_law_r2: -4.434785978040622
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4609669617147787
# sigma_incl: 32.81584581021848
# sigma_incl_near_mmr: 1.3899670848216825
# sigma_hk: 0.02899424149530271
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.25841636793356293
# sigma_logperiod_per_pl_in_cluster: 0.18205931700001968
#
target_id,star_id,star_mass,star_radius,num_obs_planets
183.0,32960.0,1.113,1.8002523,1.0
333.0,78151.0,1.062,1.3854575,1.0
421.0,30085.0,0.861,0.8799128,1.0
448.0,72863.0,0.906,1.0746927,1.0
667.0,59300.0,0.792,1.0254126,1.0
716.0,67511.0,1.084,1.31957,1.0
774.0,31234.0,1.117,1.0475858,1.0
783.0,42485.0,0.734,0.76899785,1.0
843.0,76679.0,1.229,1.3530799,1.0
846.0,14899.0,1.12,1.3562262,1.0
924.0,36086.0,0.854,0.8383849,1.0
1069.0,43018.0,0.878,0.8093817,1.0
1073.0,35570.0,0.647,0.7053429,1.0
1105.0,78074.0,1.107,1.3435595,1.0
1173.0,19963.0,1.003,1.1857277,1.0
1178.0,71819.0,1.094,1.4026636,1.0
1350.0,43147.0,1.145,1.1629585,1.0
1426.0,12798.0,0.811,0.8422992,1.0
1491.0,35284.0,0.904,1.1280683,1.0
1619.0,18955.0,1.048,0.98644364,1.0
1620.0,61469.0,1.005,0.87059134,1.0
1623.0,37492.0,1.389,1.7798301,1.0
1728.0,72838.0,0.865,1.6283896,1.0
1746.0,57717.0,1.172,1.4887419,1.0
1766.0,3175.0,1.311,1.4732246,1.0
1920.0,3448.0,0.961,1.3854822,1.0
1950.0,16473.0,1.16,1.4951391,1.0
1996.0,18842.0,1.019,1.3783593,1.0
1999.0,47925.0,0.802,0.887026,1.0
2014.0,68907.0,0.765,0.6983049,1.0
2056.0,55573.0,0.789,0.6359929,1.0
2150.0,17216.0,1.714,1.4998945,1.0
2223.0,2137.0,0.969,0.961525,1.0
2356.0,41950.0,0.836,0.90708315,1.0
2846.0,49012.0,1.132,1.0428504,1.0
2854.0,49760.0,1.148,1.2472681,1.0
2882.0,44021.0,1.088,1.3849889,1.0
2900.0,5457.0,0.816,0.76868135,1.0
3000.0,13112.0,1.264,1.1904757,1.0
3015.0,44804.0,0.716,0.6263928,1.0
3099.0,30409.0,0.849,0.6877066,1.0
3128.0,67509.0,0.719,0.85021013,1.0
3165.0,29607.0,0.723,0.85111153,1.0
3221.0,61958.0,0.892,1.0117255,1.0
3244.0,66447.0,1.23,1.3658459,1.0
3328.0,11549.0,1.114,1.1760217,1.0
3355.0,15258.0,0.714,0.57733524,1.0
3387.0,206.0,0.845,0.9247852,1.0
3633.0,12992.0,0.856,0.8605125,1.0
3698.0,29320.0,0.937,1.2224709,1.0
3723.0,29569.0,1.071,1.0061549,1.0
3824.0,9235.0,0.907,0.90198237,1.0
3860.0,23255.0,0.9,0.89979386,1.0
3907.0,77355.0,1.111,1.2139853,1.0
4009.0,44580.0,0.713,0.65022135,1.0
4041.0,17460.0,1.099,1.2742199,1.0
4138.0,29496.0,1.045,1.4530455,1.0
4206.0,24197.0,0.95,1.6056803,1.0
4217.0,71917.0,0.908,0.9548656,1.0
4260.0,73367.0,1.228,1.4696479,1.0
4318.0,22716.0,1.106,1.567976,1.0
4325.0,14360.0,0.578,0.65835136,1.0
4335.0,10418.0,1.094,1.0233719,1.0
4349.0,10095.0,0.807,0.6965933,1.0
4424.0,43780.0,1.045,0.9097056,1.0
4453.0,58311.0,1.563,1.727353,1.0
4455.0,586.0,1.107,1.2642796,1.0
4587.0,35992.0,1.067,1.3644089,1.0
4796.0,7789.0,1.331,1.421939,1.0
4814.0,44858.0,1.467,1.6217194,1.0
4921.0,54043.0,0.981,1.1672907,1.0
4996.0,58715.0,1.151,1.5601892,1.0
5059.0,63149.0,1.117,1.105683,1.0
5131.0,6343.0,1.292,1.4054536,1.0
5169.0,10610.0,0.877,1.3862355,1.0
5194.0,11915.0,1.193,1.2650092,1.0
5201.0,66444.0,0.81,0.9881521,1.0
5223.0,45491.0,0.966,1.0136397,1.0
5230.0,32454.0,0.884,1.1967094,1.0
5241.0,35528.0,1.036,1.4423492,1.0
5255.0,31629.0,1.037,1.4096138,1.0
5293.0,51757.0,0.845,0.74978215,1.0
5366.0,42910.0,1.048,1.5053031,1.0
5483.0,62953.0,0.999,0.95599765,1.0
5500.0,77734.0,1.244,1.1444144,1.0
5556.0,65733.0,0.912,0.63457364,1.0
5614.0,72756.0,1.047,1.3860795,1.0
5755.0,34840.0,1.336,1.6437582,1.0
5760.0,23159.0,0.954,1.299055,1.0
5811.0,65680.0,1.161,1.2054873,1.0
5879.0,48569.0,1.028,1.385882,1.0
5881.0,35910.0,1.06,1.5791181,1.0
6161.0,51403.0,0.791,0.6579985,1.0
6249.0,19875.0,0.828,0.6793796,1.0
6319.0,77660.0,0.862,0.8831434,1.0
6342.0,71343.0,0.776,0.9660715,1.0
6350.0,45994.0,0.963,1.0498751,1.0
6481.0,24585.0,0.984,1.4298028,1.0
6503.0,32940.0,1.054,1.2191682,1.0
6541.0,64774.0,0.714,0.5795486,1.0
6670.0,74670.0,0.566,0.83524203,1.0
6748.0,9405.0,1.367,1.63492,1.0
6750.0,8742.0,0.995,1.4782281,1.0
6815.0,47902.0,0.937,1.0113254,1.0
6907.0,61557.0,0.74,0.6630788,1.0
6925.0,57619.0,0.768,0.6570967,1.0
7131.0,16800.0,0.828,0.889603,1.0
7190.0,32657.0,0.654,0.57362974,1.0
7202.0,32479.0,0.989,1.0665466,1.0
7373.0,25607.0,0.987,1.1886426,1.0
7422.0,15225.0,1.068,1.1243436,1.0
7446.0,75730.0,1.087,1.6020099,1.0
7509.0,75259.0,1.149,1.0535579,1.0
7510.0,2153.0,1.114,1.2831941,1.0
7517.0,10620.0,1.41,2.0911727,1.0
7605.0,1369.0,1.01,1.0036126,1.0
7639.0,31794.0,0.868,1.0746944,1.0
7670.0,20222.0,0.894,0.86373323,1.0
7907.0,75312.0,0.92,0.93402255,1.0
7947.0,77783.0,1.103,1.1929697,1.0
8053.0,19874.0,1.075,1.1987987,1.0
8063.0,41336.0,0.878,0.7400465,1.0
8066.0,38593.0,1.074,1.3240832,1.0
8136.0,77304.0,1.006,1.1081797,1.0
8172.0,78703.0,0.946,0.91872966,1.0
8193.0,60123.0,0.854,0.82248193,1.0
8287.0,55073.0,0.903,1.0502454,1.0
8331.0,33507.0,0.65,0.87656415,1.0
8376.0,72675.0,0.583,0.6223665,1.0
8430.0,33407.0,1.145,1.440581,1.0
8480.0,38809.0,0.718,0.8002931,1.0
8545.0,69884.0,0.961,0.9591435,1.0
8554.0,11816.0,1.037,0.97592795,1.0
8755.0,13176.0,0.771,0.7963832,1.0
8767.0,34891.0,1.137,1.2019252,1.0
8794.0,40527.0,0.864,0.9093327,1.0
8814.0,5587.0,1.276,1.7662201,1.0
8825.0,61505.0,0.72,0.8124775,1.0
8828.0,36873.0,1.021,1.0744799,1.0
8862.0,46028.0,1.05,1.588157,1.0
8870.0,1613.0,1.169,1.6167052,1.0
8970.0,60102.0,0.989,1.1255765,1.0
9066.0,71415.0,0.838,1.088662,1.0
9142.0,18654.0,1.829,1.8105199,1.0
9151.0,79452.0,1.008,0.98371226,1.0
9212.0,75155.0,1.132,1.7004976,1.0
9475.0,52844.0,1.055,1.1589552,1.0
9486.0,36101.0,1.047,1.3286588,1.0
9528.0,31037.0,0.593,0.5093414,1.0
9579.0,1269.0,1.241,1.4381021,1.0
9594.0,14277.0,1.078,1.130905,1.0
9693.0,45001.0,1.106,2.0331461,1.0
9744.0,69441.0,1.102,1.3142797,1.0
9768.0,32584.0,0.813,0.8518948,1.0
9840.0,78178.0,1.147,1.7432282,1.0
9848.0,37414.0,0.947,1.4556065,1.0
9865.0,23977.0,1.117,1.2858211,1.0
9891.0,49514.0,0.848,1.2530929,1.0
9896.0,6606.0,1.088,1.2381299,1.0
10004.0,5075.0,0.803,0.72623956,1.0
10046.0,47344.0,0.832,1.3243396,1.0
10092.0,52136.0,0.654,1.1701996,1.0
10176.0,58049.0,1.106,1.3940574,1.0
10232.0,13574.0,0.902,0.8793017,1.0
10260.0,38144.0,0.77,1.1384151,1.0
10261.0,26732.0,0.953,1.2419583,1.0
10287.0,33131.0,0.992,1.0800089,1.0
10472.0,52572.0,0.612,0.7926768,1.0
10506.0,50892.0,1.181,1.614776,1.0
10583.0,9947.0,1.363,1.3303268,1.0
10608.0,72800.0,0.94,1.3743932,1.0
10714.0,70655.0,1.095,1.1114808,1.0
10747.0,24145.0,0.93,1.0579747,1.0
10953.0,16925.0,0.783,0.8179686,1.0
11028.0,31044.0,0.733,0.6248295,1.0
11069.0,29037.0,0.961,1.2742805,1.0
11077.0,32354.0,0.766,0.7889651,1.0
11229.0,75314.0,0.819,0.6774264,1.0
11347.0,63395.0,1.236,1.3822265,1.0
11356.0,71364.0,0.978,1.3548875,1.0
11408.0,54468.0,0.924,0.90045476,1.0
11472.0,59550.0,0.789,0.7998958,1.0
11482.0,60157.0,0.922,0.9362462,1.0
11698.0,20241.0,1.119,1.4141525,1.0
11772.0,5774.0,0.923,1.130912,1.0
11782.0,29374.0,0.926,0.879062,1.0
11788.0,9570.0,1.133,1.2659165,1.0
11911.0,34994.0,0.924,1.0565258,1.0
12073.0,38199.0,1.058,1.1252526,1.0
12080.0,12687.0,0.978,1.197489,1.0
12150.0,14394.0,1.153,1.0812747,1.0
12224.0,60732.0,1.421,1.6731887,1.0
12367.0,49148.0,0.729,0.70415926,1.0
12437.0,67254.0,0.998,1.1744989,1.0
