# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.09431633345355517
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.7609626999185176
# max_planets_in_clusters: 15
# power_law_P: -0.2270326954795583
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.1645830855452113
# power_law_r2: -5.056583363726988
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4345866050465299
# sigma_incl: 60.93851574583843
# sigma_incl_near_mmr: 1.2919166767629235
# sigma_hk: 0.01435088064538711
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.2041217856477835
# sigma_logperiod_per_pl_in_cluster: 0.1650957538628411
#
target_id,star_id,period,depth,duration,star_mass,star_radius
29.0,24058.0,3.446257829255214,0.0002699241503740186,0.09627159974438086,1.072,1.2917812
56.0,30903.0,13.519657471552996,0.0029961400305457365,0.10391051274895988,0.923,1.0890417
110.0,9140.0,5.29650918435133,0.00014765517218141757,0.1081173093178524,1.01,1.2791573
151.0,72632.0,3.828456131949205,0.00016035154858522383,0.1337307626729188,1.03,1.6412582
235.0,77233.0,37.46150865185578,0.00027625530708243526,0.2376126784829235,0.784,0.9041051
289.0,45375.0,4.3585344495679115,0.0009414371696220304,0.09879560960524103,0.864,1.0124755
331.0,71712.0,29.36841402617074,0.0007474972246228951,0.2859996799661585,1.16,1.2945143
344.0,52170.0,10.702040164631299,0.00010956775950513144,0.15914113530235866,0.991,1.1913818
421.0,32511.0,195.83276490035638,0.00049782284790902,0.3199997140154831,0.771,0.7870784
431.0,43565.0,56.90128791360578,0.00027462980783320786,0.31112300461436376,0.89,1.3381184
564.0,61967.0,27.75857022624684,0.0008121746009161267,0.2225086721406647,0.88,1.0244116
584.0,7330.0,4.0052815613726285,0.0007929214164797816,0.07767265095787956,0.806,0.62753135
604.0,14616.0,11.805648628980405,0.00013545006651387659,0.20145752425103045,0.864,1.1603147
621.0,15295.0,25.181318900058983,0.0005916484106215266,0.0893555818439584,1.08,1.137804
661.0,10154.0,7.2570179241522705,0.00017175513740248237,0.10569683237319535,0.857,1.0403048
676.0,68096.0,3.5249671812088814,0.00016389208317756497,0.14393618155654375,1.178,1.3142904
710.0,70873.0,151.61608005423724,0.0004894768169141626,0.5782996576266372,1.166,1.6133312
744.0,72679.0,6.592887334810976,0.0002379982377805706,0.12161033040526953,0.803,0.81236255
785.0,51017.0,72.3432627711223,0.0009941770793241236,0.21959185417957516,0.898,0.8552259
820.0,44272.0,4.555856520893462,0.003932706644122442,0.06861662573824312,0.555,0.6717962
877.0,71372.0,4.743832145970208,0.0008589731102756884,0.10297687228970467,1.15,1.2284608
978.0,43465.0,85.84617423723651,0.00019024083403648858,0.5170411523060531,1.1,1.6113522
1041.0,41143.0,10.133560291586297,0.001447491722438171,0.0957176512396247,0.669,0.52499634
1053.0,35406.0,3.2108245619943028,4.21465850876478e-5,0.11158004023192035,1.256,1.339025
1200.0,41026.0,4.9993387582668625,0.0033594431483139325,0.09714944782396011,0.91,0.8844317
1201.0,22759.0,49.44296061147388,0.0002731588999777962,0.37220654959757477,0.855,1.4279013
1265.0,70297.0,31.641504600083785,0.0003042058043724806,0.2310287365404788,1.096,1.136608
1336.0,53762.0,7.261320346668197,0.0008009479070666548,0.054281610566445516,0.753,0.81188667
1342.0,63593.0,79.77603332102099,0.0005675870604248313,0.33470459249045076,1.093,1.489363
1415.0,45202.0,3.1882478995060914,0.00017729866146805418,0.09546847476081773,1.047,1.4051747
1430.0,10950.0,13.85178605922059,6.626083630872051e-5,0.24689295612753903,1.089,1.4625624
1452.0,41584.0,12.355237689366485,0.0008464102390662148,0.12349696860521803,1.678,1.550843
1453.0,27656.0,15.79506458033726,0.0001245269740707768,0.22519486381161885,1.052,1.3907018
1778.0,70695.0,42.1676362931476,0.0006266827802908339,0.14294126884562397,0.527,0.6888366
1797.0,78993.0,64.80687876217522,0.0009356397678869373,0.2298641043467564,0.873,0.76789135
1871.0,20794.0,3.1322586550349056,0.0005017519931859499,0.06146926184567594,0.728,0.54928315
2081.0,6068.0,21.446441759919846,0.0028181366376917455,0.05265848974385118,0.596,0.58203715
2324.0,1348.0,35.85671153056355,8.129023104239365e-5,0.23541754235278609,1.04,0.9455319
2397.0,64975.0,28.642950185916323,0.0002957499025513422,0.18588352756754642,1.049,0.86383444
2405.0,36122.0,13.823071158080614,0.0003586861227012011,0.1417394036865466,0.943,1.1507341
2510.0,48875.0,5.652540564946635,0.0007277394431961857,0.10035770785234167,0.989,0.8472097
2535.0,50338.0,161.2158016296145,7.123516717488773e-5,0.3627903352865091,1.215,1.2761431
2588.0,31513.0,15.08506825028728,0.0008592351673922795,0.16938977676985495,0.91,0.8821385
2600.0,63116.0,31.56135527032544,0.00028761807330304664,0.21927646925781366,0.997,1.1196764
2732.0,66800.0,29.07078999676306,0.0002069167170302608,0.2963228616125982,1.148,1.6037472
2922.0,32303.0,3.0586069724280938,0.0005346111643681666,0.04945905355968341,0.734,0.8750215
3031.0,20942.0,3.2714911797090678,0.00021014571807053,0.12142562085184193,0.921,1.1832732
3067.0,45312.0,44.81243065645666,0.0002773103087163783,0.31462578156989207,1.16,1.4447919
3119.0,8635.0,84.39464787473992,0.0006280797789581216,0.2663384461503516,0.801,0.74069375
3185.0,4995.0,18.819602792170322,0.0009552690864377655,0.11803194778733804,0.895,0.77320874
3200.0,59556.0,8.250727716869285,0.0015563422342833502,0.1269578169931898,0.85,0.89326596
3317.0,24855.0,6.388082026374407,0.0004516336072945564,0.033668664304123685,1.189,1.0020033
3358.0,55372.0,32.88782160249571,0.014683187310552953,0.1396905170679135,0.679,0.5398153
3376.0,78023.0,12.292097812826741,0.00048047162424851,0.202112530560106,1.131,1.1761742
3445.0,73285.0,11.062863142380591,0.00029281451659319787,0.15540825071074543,0.785,0.8789554
3481.0,68741.0,3.7929113652790027,0.0013398852638332695,0.11406923276653011,0.503,0.7870478
3491.0,67237.0,4.200451545051538,3.612856605689925e-5,0.20551644481427797,0.924,1.6710278
