# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.28233243430470867
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.490422583851782
# max_planets_in_clusters: 15
# power_law_P: -0.16278199618509537
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.2705845963969296
# power_law_r2: -4.307944913759277
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4615834020481572
# sigma_incl: 66.80840943006605
# sigma_incl_near_mmr: 1.4327926995792795
# sigma_hk: 0.019362210203444686
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.3657129759257729
# sigma_logperiod_per_pl_in_cluster: 0.17597281116222363
#
target_id,star_id,period,depth,duration,star_mass,star_radius
16.0,2525.0,3.9812768489951584,0.0007752074859109593,0.029136385301757772,1.373,1.0466224
114.0,52455.0,15.820782100973487,0.00012701908138501277,0.3017017138674623,1.02,1.5997707
188.0,51917.0,14.681079324997475,0.0012037423076571507,0.1340943046596892,0.873,0.7060128
211.0,42855.0,6.276717194095983,8.187775827895894e-5,0.16202012664948917,1.049,1.2192883
362.0,22990.0,6.203379636833806,0.00011782023482573943,0.10013694286678533,0.98,1.2891266
514.0,7359.0,34.49480567279342,0.0005605884024367263,0.17335910946885366,0.845,0.7246443
532.0,15967.0,4.735365961014955,3.401993762698585e-5,0.12966219346470545,1.011,1.6302553
753.0,36905.0,8.270091520414587,0.000603072804386157,0.08270003119098206,0.745,0.54755265
977.0,69465.0,3.2159961395153274,0.00010002230564729865,0.14153158147783462,1.052,1.3435044
1019.0,15380.0,95.30499363212755,0.0005836771030319871,0.17586785053527176,1.086,1.0866034
1087.0,66246.0,6.228270838672803,0.0001230893154905367,0.10614435113162368,0.967,1.3378434
1213.0,49563.0,63.33367484241516,0.00043587077751990364,0.30791139310939897,1.144,1.1174285
1249.0,49440.0,3.954277850648384,0.003166189469370008,0.11168273696166311,0.985,0.903086
1344.0,79742.0,46.96577009557835,0.00013250514243711773,0.22649695855608298,0.961,0.92302704
1361.0,65832.0,12.0600155071526,0.001449492314666645,0.1543810245313223,1.016,1.3481727
1411.0,16432.0,5.8787787283025885,0.0004897085314573505,0.1512794130037544,1.117,1.1667175
1412.0,21118.0,9.9696824123471,0.0008366651632501212,0.13700518034337955,0.841,0.81712025
1481.0,67753.0,9.662455855286376,0.00025030594289235126,0.15670397765033206,0.776,1.0150851
1491.0,37315.0,18.79487099363585,7.874861482040128e-5,0.19324673927871766,1.313,1.3000191
1580.0,31249.0,9.705787116320463,0.00014170030463835998,0.1531056770834067,0.977,0.9960186
1626.0,34389.0,5.38058791817771,0.00013179003481027886,0.1583783827617564,0.955,1.1628634
1700.0,75881.0,16.893239760240466,0.0006367611317035549,0.2705797307498733,1.065,1.4507681
1736.0,35631.0,3.980894765838898,0.0005850798653857815,0.09650098059469862,0.626,0.7376953
1753.0,41070.0,8.252604644990509,0.002660097131212761,0.06941319935183483,0.923,0.8182669
1767.0,41196.0,58.995267378852624,0.0004806504005838519,0.23949641212269604,0.843,0.7684196
1848.0,24222.0,3.2080812607516993,0.00021146733561342457,0.10147529968298222,0.931,0.9072577
1891.0,73679.0,3.7605769602998733,0.0014655911792923518,0.1431916987858363,1.134,1.4950649
1892.0,20593.0,9.038954534663999,0.0002081773805967483,0.13005515816782545,0.925,1.0193778
1946.0,4702.0,13.477268474024385,0.0003736357141495018,0.18133789344711357,0.84,0.9570903
2087.0,68035.0,12.299646992242193,0.001027048644446152,0.11268386309395428,0.714,0.57933784
2156.0,1568.0,45.872659357523574,0.0004062982970452935,0.13313985789368785,1.008,1.0627337
2190.0,22665.0,107.7186196847359,0.0008543147289439134,0.17759722831229924,0.802,0.79678607
2217.0,33131.0,6.592936683055936,0.0003429436093854315,0.1491198783108709,0.992,1.0800089
2271.0,5461.0,14.456831127148607,0.0005699626389467266,0.17505792615961985,0.997,1.0630343
2343.0,5474.0,96.30683708371119,0.00046549057469899785,0.11613825165654514,0.824,0.75076926
2394.0,7458.0,10.180621778146277,8.432834674159362e-5,0.26730105353363576,0.802,1.6088521
2464.0,16178.0,9.559647668829191,0.00037445990178395643,0.13712875427362275,1.224,1.4031518
2478.0,39833.0,27.731157902434123,0.00017393909480242252,0.3716755813674787,1.079,1.758719
2551.0,1988.0,10.290558026234105,0.00031215876400678464,0.10596001475941345,0.556,0.5778754
2624.0,79657.0,13.85645060839672,0.00095781026315363,0.12309286669173251,1.038,1.0262957
2801.0,7118.0,5.241202039937091,0.0018768292444888437,0.08231527263342608,0.829,0.8374235
2843.0,28109.0,23.442302969182006,0.0005292624899140027,0.09149821086585155,0.915,0.9289612
2969.0,36444.0,18.108869719987208,5.220233919076593e-5,0.15321265267435225,1.011,1.0746804
3073.0,46509.0,55.45506652929321,0.0008462425032123484,0.3645758212566727,1.18,1.4266678
3114.0,25070.0,34.79721047768332,0.0005773957657345322,0.23256227396873394,0.99,1.0600828
3116.0,25493.0,73.419592804868,0.0011804023481726668,0.2856118159971453,0.939,1.0783321
3169.0,78137.0,8.718684647849228,0.00024706746598538397,0.0781468239379432,0.681,0.6752956
3206.0,75874.0,5.1936003910298,7.799641577077484e-5,0.07224622202126055,0.879,1.1401172
3254.0,40869.0,5.752480133494571,0.0006571307426565994,0.07494316220062046,0.94,0.98867977
3369.0,45700.0,4.689689017425167,0.00018383245848197606,0.13785902352184723,1.147,1.2361922
3392.0,29969.0,7.398933021506083,0.0001447377651103654,0.10080151079675703,1.273,1.8430446
3478.0,2523.0,31.58005652263436,0.0007769262298127895,0.17953075740983346,0.946,0.8042238
3491.0,22285.0,20.400656934157723,0.0007570607711960843,0.20869938529242735,1.261,1.3275621
3506.0,43493.0,4.802687245996571,3.901117722827489e-5,0.1331976057185334,1.737,1.481426
3507.0,23482.0,4.164881921032566,0.00011732525544923852,0.1591787544772735,1.215,1.5750453
3570.0,53589.0,8.899390363380936,0.001037237987047828,0.06048350328250867,0.855,0.8759533
3694.0,32828.0,7.95174110029515,0.0005190208738072206,0.1313092055213679,0.89,0.98312503
3830.0,53952.0,3.461219102350554,0.00016240442318081057,0.07710040794799561,1.377,1.5705749
3949.0,72144.0,7.340249383124623,0.004130386127292138,0.16313727221104665,1.262,1.3025016
4245.0,17165.0,39.87861299951239,0.0001889449964220072,0.22353977593951763,0.866,0.9747633
4253.0,66948.0,117.52304415882531,0.0008534274361670981,0.37520750414749604,1.114,1.10563
4255.0,33948.0,4.4973716642363994,8.054818271143717e-5,0.13341893671367988,0.874,1.2043462
4290.0,31205.0,3.096688570559877,0.00010162306125382136,0.10242902659245624,0.97,1.061015
4324.0,53132.0,25.50710622600009,0.0015340941710612213,0.1042284652698435,1.005,1.2898045
4394.0,62022.0,32.71585548412172,0.0007509717695423119,0.05531373901092197,0.678,0.67875904
4542.0,8047.0,3.1455399487353515,0.0005668760118342393,0.07543221751783136,1.107,1.0992671
4622.0,18509.0,13.692513589208534,0.008235995432583328,0.16415394810426165,1.022,0.9328252
4657.0,61330.0,3.945754886484879,0.0015058438047852666,0.10101048684697102,0.938,0.9187658
4729.0,68130.0,3.372885208657485,0.00409865140671487,0.05223084205358279,0.835,0.8655414
4740.0,18873.0,138.15840714404624,0.0005054968804745095,0.49829552427817314,1.455,1.4487054
4791.0,28951.0,3.8621176819563456,0.00028903056529648076,0.050518134735870995,0.949,1.0962896
4871.0,44979.0,6.112337191453052,0.00017088725437987986,0.10751253591614018,0.924,0.8946638
4895.0,17557.0,4.01279582605626,0.001090163723263669,0.11949906031794598,1.047,1.0401893
5056.0,51844.0,6.2493686144399785,0.0005102645570946449,0.111979185039047,0.994,1.134932
5079.0,79010.0,6.826907497944217,3.796678653023975e-5,0.17680661205130122,1.52,1.384556
5093.0,4133.0,5.949991384394886,0.00022373672699095345,0.1772324356245112,0.973,1.3981074
5133.0,55972.0,58.1632874657942,0.0007753794606900944,0.1807595349815291,1.087,1.2227097
5253.0,39374.0,114.93211517511884,0.0004104136415575308,0.15167083001432954,1.284,1.8776611
5314.0,44795.0,51.83340262314081,0.0013694544809050018,0.24684464386600405,0.876,0.8999277
5445.0,74432.0,3.563441207795282,0.0002389156338794229,0.16202487194437618,0.876,1.4407606
5487.0,37436.0,60.857167348833194,0.001989757603629904,0.3370753799127819,0.909,1.1219854
5578.0,45927.0,8.50581335539845,0.0005801546556303359,0.18978029437361318,0.929,1.2069037
5626.0,34168.0,21.903750605849623,0.005807586199531233,0.11959923074807127,3.675,1.110774
5690.0,51593.0,4.103328030973813,3.8096158993564316e-5,0.10338184149508332,1.522,1.4731773
5882.0,53175.0,169.5505983301891,0.002308649864859628,0.4470843186170087,0.66,0.94223535
6030.0,70430.0,3.7790152993462094,0.00012678456297553355,0.05225301476145698,0.98,0.9956504
6090.0,38247.0,16.664333385252732,0.000152804046927145,0.14543145292857154,1.167,1.0411093
6145.0,44813.0,27.166407111891104,6.643647221793305e-5,0.22798689779097958,1.059,1.0147247
