# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.3855918437709652
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.443020468683064
# max_planets_in_clusters: 15
# power_law_P: 1.0572304039527527
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.7253936274247845
# power_law_r2: -3.72323517918033
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.3789072211659297
# sigma_incl: 35.73404360638709
# sigma_incl_near_mmr: 1.0234022047450604
# sigma_hk: 0.02531687913882469
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.2735367346690484
# sigma_logperiod_per_pl_in_cluster: 0.18052592281517033
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,76303.0,1.257,1.3114344,0.0
2.0,4421.0,0.889,0.99532604,6.0
3.0,32033.0,0.765,0.6941569,0.0
4.0,66669.0,0.999,1.3983285,5.0
5.0,59500.0,0.839,0.88776875,0.0
6.0,32454.0,0.884,1.1967094,3.0
7.0,43227.0,0.896,0.9868477,8.0
8.0,21475.0,1.149,1.5287602,5.0
9.0,42476.0,0.746,0.7545561,6.0
10.0,902.0,0.715,0.60072863,4.0
11.0,74006.0,0.673,0.66982627,7.0
12.0,29223.0,1.166,1.5105048,5.0
13.0,61024.0,0.921,0.9232113,0.0
14.0,43602.0,1.258,1.2907604,3.0
15.0,77549.0,0.992,1.5395299,3.0
16.0,59330.0,1.129,1.529813,6.0
17.0,11343.0,0.735,0.85766166,3.0
18.0,30248.0,0.898,1.0166252,0.0
19.0,41697.0,1.017,1.0203732,4.0
20.0,27038.0,1.004,1.0210071,2.0
21.0,73823.0,1.444,1.6586965,5.0
22.0,47711.0,0.791,0.9849297,2.0
23.0,48831.0,0.788,0.97500515,3.0
24.0,5230.0,1.029,1.1806719,6.0
25.0,4261.0,0.822,1.0467068,2.0
26.0,68858.0,0.911,0.77087754,4.0
27.0,10937.0,0.881,0.97922724,0.0
28.0,6810.0,1.073,1.2923751,6.0
29.0,44156.0,0.981,0.9788627,5.0
30.0,1505.0,0.903,1.2398952,2.0
31.0,8883.0,0.992,1.1021824,0.0
32.0,15024.0,1.133,1.1892892,10.0
33.0,64075.0,0.698,0.70156324,4.0
34.0,13074.0,1.04,1.5479913,3.0
35.0,75680.0,1.108,1.2214062,8.0
36.0,39755.0,1.118,1.5941596,0.0
37.0,18530.0,1.172,1.0966908,4.0
38.0,1313.0,1.25,1.1456612,7.0
39.0,66861.0,0.68,1.0575576,0.0
40.0,3078.0,0.769,0.62759733,0.0
41.0,52631.0,1.284,1.4769658,6.0
42.0,70832.0,0.743,0.8056574,6.0
43.0,56852.0,0.858,0.7801985,1.0
44.0,73705.0,0.919,1.1254655,0.0
45.0,40166.0,0.581,0.838849,3.0
46.0,18865.0,0.828,0.68873596,4.0
47.0,15300.0,1.172,1.4205006,2.0
48.0,79612.0,0.832,0.77392334,2.0
49.0,1140.0,0.958,0.9319442,3.0
50.0,66449.0,1.014,0.87176895,0.0
51.0,13787.0,1.125,0.95540553,7.0
52.0,32373.0,0.968,1.1732943,7.0
53.0,7074.0,0.943,0.8994791,4.0
54.0,3955.0,1.09,0.94668335,4.0
55.0,73449.0,1.066,1.5319481,0.0
56.0,33046.0,0.985,1.3524452,4.0
57.0,77629.0,0.881,0.78501165,5.0
58.0,38126.0,1.375,1.7767774,2.0
59.0,32641.0,1.207,1.4407815,0.0
60.0,51274.0,0.992,0.9617144,5.0
61.0,46888.0,1.179,1.6521424,6.0
62.0,39338.0,1.082,1.6374371,9.0
63.0,28199.0,0.752,1.1087428,2.0
64.0,29420.0,1.08,1.0478538,7.0
65.0,12907.0,1.03,1.375861,4.0
66.0,12581.0,0.985,1.0250599,10.0
67.0,74310.0,1.213,1.3389667,0.0
68.0,36112.0,1.14,1.3711095,6.0
69.0,34134.0,0.908,1.1988051,0.0
70.0,77876.0,1.021,1.3729879,2.0
71.0,33890.0,0.785,0.70128024,2.0
72.0,76608.0,0.783,0.62134725,10.0
73.0,56669.0,1.145,1.2568681,3.0
74.0,60803.0,0.977,1.0071608,6.0
75.0,66039.0,0.963,1.1514312,0.0
76.0,17351.0,0.919,0.9183693,0.0
77.0,77463.0,0.958,0.8685666,2.0
78.0,18219.0,1.287,1.9516098,9.0
79.0,14484.0,0.983,0.9297539,5.0
80.0,18520.0,0.684,0.53603363,5.0
81.0,58215.0,0.723,0.79426455,0.0
82.0,62517.0,0.757,0.7643079,8.0
83.0,34753.0,1.222,1.7010583,7.0
84.0,32110.0,0.964,1.2862408,5.0
85.0,53615.0,0.969,1.2449719,8.0
86.0,6555.0,1.09,1.0851535,8.0
87.0,57662.0,0.733,0.7068663,6.0
88.0,70882.0,0.852,0.8328061,5.0
89.0,76662.0,0.946,0.803458,8.0
90.0,78190.0,1.186,1.0860732,8.0
91.0,74800.0,0.848,1.0584188,2.0
92.0,53495.0,0.791,0.581964,0.0
93.0,28253.0,1.143,1.3039029,0.0
94.0,3460.0,0.809,0.6137657,7.0
95.0,38279.0,1.004,0.87767345,6.0
96.0,19058.0,0.951,1.2397465,9.0
97.0,68940.0,1.084,1.3387971,1.0
98.0,76533.0,0.69,1.2816285,0.0
99.0,48569.0,1.028,1.385882,6.0
